rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,time.thisRepN,time.thisTrialN,time.thisN,time.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos_1.thisRepN,pos_1.thisTrialN,pos_1.thisN,pos_1.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,-0.27,-0.6,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.45317316055298,22.45317316055298,22.45317316055298,22.45317316055298,22.45317316055298,22.45317316055298,22.45317316055298,22.45317316055298,22.45317316055298,22.45317316055298,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.28,-0.6,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.648070096969604,22.648070096969604,22.648070096969604,22.648070096969604,22.648070096969604,22.648070096969604,22.648070096969604,22.648070096969604,22.648070096969604,22.648070096969604,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.29,-0.6,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.84224510192871,22.84224510192871,22.84224510192871,22.84224510192871,22.84224510192871,22.84224510192871,22.84224510192871,22.84224510192871,22.84224510192871,22.84224510192871,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.3,-0.6,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0384202003479,23.0384202003479,23.0384202003479,23.0384202003479,23.0384202003479,23.0384202003479,23.0384202003479,23.0384202003479,23.0384202003479,23.0384202003479,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.31,-0.6,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.204447984695435,None,23.204447984695435,None,23.204447984695435,23.204447984695435,23.204447984695435,23.204447984695435,23.204447984695435,None,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.32,-0.6,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.291205167770386,None,23.291205167770386,None,23.291205167770386,23.291205167770386,23.291205167770386,23.291205167770386,23.291205167770386,None,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.33,-0.6,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.37691903114319,None,23.37691903114319,None,23.37691903114319,23.37691903114319,23.37691903114319,23.37691903114319,23.37691903114319,None,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.34,-0.6,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.501543045043945,None,23.501543045043945,None,23.501543045043945,23.501543045043945,23.501543045043945,23.501543045043945,23.501543045043945,None,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.35,-0.6,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.586995124816895,None,23.586995124816895,None,23.586995124816895,23.586995124816895,23.586995124816895,23.586995124816895,23.586995124816895,None,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
,,,,,-0.36,-0.6,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.67175817489624,None,23.67175817489624,None,23.67175817489624,23.67175817489624,23.67175817489624,23.67175817489624,23.67175817489624,None,,001,2021_Jul_30_2206,untitled,2020.2.10,None,
