rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,introtext.started,introtext.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,square_2.started,square_2.stopped,tree1_2.started,tree1_2.stopped,tree2_2.started,tree2_2.stopped,tree3_2.started,tree3_2.stopped,tree4_2.started,tree4_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,square_14.started,square_14.stopped,tree1_14.started,tree1_14.stopped,tree2_14.started,tree2_14.stopped,tree3_14.started,tree3_14.stopped,tree4_14.started,tree4_14.stopped,text_2.started,text_2.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.148846864700317,None,0.004629629629629629,-0.2074074074074074,1,0,0,square_2,0.014084815979003906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_13_2157,untitled,2020.2.10,None,
,,,,,,,,,,,,,,,,,,,10.17996883392334,None,10.17996883392334,None,10.17996883392334,None,10.17996883392334,None,10.17996883392334,None,-0.5175925925925926,-0.18888888888888888,1,0,0,tree1_14,0.005315303802490234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_13_2157,untitled,2020.2.10,None,
7.5,7.3,7.6,7.1,7.4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82985782623291,None,12.82985782623291,None,12.82985782623291,None,12.82985782623291,None,12.82985782623291,None,12.82985782623291,None,14.987368822097778,None,14.987368822097778,None,14.987368822097778,None,14.987368822097778,None,14.987368822097778,None,14.987368822097778,14.987368822097778,14.987368822097778,None,14.987368822097778,14.987368822097778,-0.006481481481481481,-0.18981481481481483,1,0,0,square_18,0.004751443862915039,None,19.365028858184814,None,19.365028858184814,None,19.365028858184814,None,19.365028858184814,None,19.365028858184814,None,19.365028858184814,19.365028858184814,19.365028858184814,None,19.365028858184814,19.365028858184814,19.365028858184814,19.365028858184814,20.394119024276733,None,20.394119024276733,None,20.394119024276733,None,20.394119024276733,None,20.394119024276733,None,20.394119024276733,None,-0.000925925925925926,-0.20092592592592592,1,0,0,3.8971920013427734,tree1_4,0.003352642059326172,None,20.394119024276733,None,20.394119024276733,20.394119024276733,None,20.394119024276733,None,-0.5037037037037037,-0.18425925925925926,1,0,0,6.659000873565674,0.003352642059326172,None,20.394119024276733,21.509673833847046,,001,2021_Jul_13_2157,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.378588914871216,None,28.378588914871216,None,28.378588914871216,None,28.378588914871216,None,28.378588914871216,None,28.378588914871216,28.378588914871216,28.378588914871216,None,28.378588914871216,28.378588914871216,-0.011111111111111112,-0.2064814814814815,1,0,0,square_18,0.010151147842407227,None,31.000340938568115,None,31.000340938568115,None,31.000340938568115,None,31.000340938568115,None,31.000340938568115,None,31.000340938568115,31.000340938568115,31.000340938568115,None,31.000340938568115,31.000340938568115,31.000340938568115,31.000340938568115,32.035017013549805,None,32.035017013549805,None,32.035017013549805,None,32.035017013549805,None,32.035017013549805,None,32.035017013549805,None,-0.48703703703703705,-0.1685185185185185,1,0,0,9.991736888885498,tree1_4,0.0077304840087890625,None,32.035017013549805,None,32.035017013549805,32.035017013549805,None,32.035017013549805,None,-0.5175925925925926,-0.15185185185185185,1,0,0,7.8744261264801025,0.0077304840087890625,None,32.035017013549805,33.15951585769653,,001,2021_Jul_13_2157,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.091038942337036,None,42.091038942337036,None,42.091038942337036,None,42.091038942337036,None,42.091038942337036,None,42.091038942337036,42.091038942337036,42.091038942337036,None,42.091038942337036,42.091038942337036,0.001851851851851852,-0.20092592592592592,1,0,0,square_18,0.015334367752075195,None,64.49612498283386,None,64.49612498283386,None,64.49612498283386,None,64.49612498283386,None,64.49612498283386,None,64.49612498283386,64.49612498283386,64.49612498283386,None,64.49612498283386,64.49612498283386,64.49612498283386,64.49612498283386,65.54373502731323,None,65.54373502731323,None,65.54373502731323,None,65.54373502731323,None,65.54373502731323,None,65.54373502731323,None,-0.4962962962962963,-0.1648148148148148,1,0,0,1.7416009902954102,tree1_4,0.0069086551666259766,None,65.54373502731323,None,65.54373502731323,65.54373502731323,None,65.54373502731323,None,,,,,,,0.0069086551666259766,None,65.54373502731323,66.66377282142639,,001,2021_Jul_13_2157,untitled,2020.2.10,None,
