rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,time_bound.thisRepN,time_bound.thisTrialN,time_bound.thisN,time_bound.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,key_resp.rt,tree.started,tree.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,8.669158935546875,None,9.719938039779663,None,9.719938039779663,None,9.719938039779663,None,9.719938039779663,None,9.719938039779663,None,9.719938039779663,9.719938039779663,9.719938039779663,None,9.719938039779663,9.719938039779663,-0.006481481481481481,-0.2,1,0,0,square_18,0.009983539581298828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_2212,untitled,2020.2.10,None,
7.5,7.3,7.6,7.1,7.4,0,0,0,0,0,0,0,0,,,,,,,,,,,11.048295974731445,None,11.048295974731445,None,11.048295974731445,None,11.048295974731445,None,11.048295974731445,None,11.048295974731445,11.048295974731445,11.048295974731445,None,11.048295974731445,11.048295974731445,-0.030555555555555555,-0.20277777777777778,1,0,0,square_18,0.003856658935546875,None,14.533720016479492,None,14.533720016479492,None,14.533720016479492,None,14.533720016479492,None,14.533720016479492,None,14.533720016479492,14.533720016479492,14.533720016479492,None,14.533720016479492,14.533720016479492,14.533720016479492,14.533720016479492,15.546357870101929,None,15.546357870101929,None,15.546357870101929,None,15.546357870101929,None,15.546357870101929,None,15.546357870101929,15.546357870101929,-0.5,-0.1935185185185185,1,0,0,2.61313796043396,tree1_4,0.009686708450317383,None,15.546357870101929,None,15.546357870101929,15.546357870101929,None,15.546357870101929,None,-0.030555555555555555,-0.20277777777777778,1,0,0,0.3119230270385742,0.009686708450317383,None,15.546357870101929,None,18.229275941848755,None,18.229275941848755,None,18.229275941848755,None,18.229275941848755,None,18.229275941848755,None,18.229275941848755,None,18.229275941848755,None,18.229275941848755,18.229275941848755,18.229275941848755,18.229275941848755,18.229275941848755,None,18.229275941848755,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_2212,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,0,0,0,0,0,1,1,1,,,,,,,,,,,19.267067909240723,None,19.267067909240723,None,19.267067909240723,None,19.267067909240723,None,19.267067909240723,None,19.267067909240723,19.267067909240723,19.267067909240723,None,19.267067909240723,19.267067909240723,0.002777777777777778,-0.22037037037037038,1,0,0,square_18,0.009777545928955078,None,20.183003902435303,None,20.183003902435303,None,20.183003902435303,None,20.183003902435303,None,20.183003902435303,None,20.183003902435303,20.183003902435303,20.183003902435303,None,20.183003902435303,20.183003902435303,20.183003902435303,20.183003902435303,21.196974992752075,None,21.196974992752075,None,21.196974992752075,None,21.196974992752075,None,21.196974992752075,None,21.196974992752075,21.196974992752075,,,,,,,,0.010736465454101562,None,21.196974992752075,None,21.196974992752075,21.196974992752075,space,21.196974992752075,None,0.002777777777777778,-0.22037037037037038,1,0,0,0.17297887802124023,0.010736465454101562,None,21.196974992752075,None,21.758628845214844,None,21.758628845214844,None,21.758628845214844,None,21.758628845214844,None,21.758628845214844,None,21.758628845214844,None,21.758628845214844,None,21.758628845214844,21.758628845214844,21.758628845214844,21.758628845214844,21.758628845214844,None,21.758628845214844,None,0.4547538757324219,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_2212,untitled,2020.2.10,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.79256796836853,None,22.79256796836853,23.84117889404297,22.79256796836853,23.84117889404297,26.7879319190979,None,26.7879319190979,None,26.7879319190979,None,26.7879319190979,None,26.7879319190979,None,26.7879319190979,None,26.7879319190979,None,,,,,,,
