rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,time_bound.thisRepN,time_bound.thisTrialN,time_bound.thisN,time_bound.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,0,0,0,0,0,0,0,0,12.243790864944458,None,13.310507774353027,None,13.310507774353027,None,13.310507774353027,None,13.310507774353027,None,13.310507774353027,None,13.310507774353027,13.310507774353027,13.310507774353027,None,13.310507774353027,13.310507774353027,0.03518518518518519,-0.19537037037037036,1,0,0,square_18,0.011227846145629883,None,14.603111982345581,None,14.603111982345581,None,14.603111982345581,None,14.603111982345581,None,14.603111982345581,None,14.603111982345581,14.603111982345581,14.603111982345581,None,14.603111982345581,14.603111982345581,14.603111982345581,14.603111982345581,15.624826908111572,None,15.624826908111572,None,15.624826908111572,None,15.624826908111572,None,15.624826908111572,None,15.624826908111572,15.624826908111572,-0.5009259259259259,-0.17314814814814813,1,0,0,2.6502420902252197,tree1_4,0.012039422988891602,None,15.624826908111572,None,15.624826908111572,15.624826908111572,None,15.624826908111572,None,-0.5277777777777778,-0.18333333333333332,1,0,0,0.9609849452972412,0.012039422988891602,None,15.624826908111572,None,18.349586963653564,None,18.349586963653564,None,18.349586963653564,None,18.349586963653564,None,18.349586963653564,None,18.349586963653564,None,18.349586963653564,None,18.349586963653564,18.349586963653564,18.349586963653564,18.349586963653564,18.349586963653564,None,18.349586963653564,None,,001,2021_Jul_24_1526,untitled,2020.2.10,60.13520120319035,
7.1,6.9,7.1,6.6,6.8,0,0,0,0,0,1,1,1,,,19.36857795715332,None,19.36857795715332,None,19.36857795715332,None,19.36857795715332,None,19.36857795715332,None,19.36857795715332,19.36857795715332,19.36857795715332,None,19.36857795715332,19.36857795715332,0.013888888888888888,-0.2,1,0,0,square_18,0.004300117492675781,None,20.268858909606934,None,20.268858909606934,None,20.268858909606934,None,20.268858909606934,None,20.268858909606934,None,20.268858909606934,20.268858909606934,20.268858909606934,None,20.268858909606934,20.268858909606934,20.268858909606934,20.268858909606934,21.307066917419434,None,21.307066917419434,None,21.307066917419434,None,21.307066917419434,None,21.307066917419434,None,21.307066917419434,21.307066917419434,-0.5083333333333333,-0.18611111111111112,1,0,0,2.625833034515381,tree1_4,0.01223444938659668,None,21.307066917419434,None,21.307066917419434,21.307066917419434,None,21.307066917419434,None,-0.524074074074074,-0.18611111111111112,1,0,0,1.0673739910125732,0.01223444938659668,None,21.307066917419434,None,23.99574089050293,None,23.99574089050293,None,23.99574089050293,None,23.99574089050293,None,23.99574089050293,None,23.99574089050293,None,23.99574089050293,None,23.99574089050293,23.99574089050293,23.99574089050293,23.99574089050293,23.99574089050293,None,23.99574089050293,None,,001,2021_Jul_24_1526,untitled,2020.2.10,60.13520120319035,
6.2,6.2,6.8,6.1,6.1,0,0,0,0,0,2,2,2,,,25.034512996673584,None,25.034512996673584,None,25.034512996673584,None,25.034512996673584,None,25.034512996673584,None,25.034512996673584,25.034512996673584,25.034512996673584,None,25.034512996673584,25.034512996673584,-0.03333333333333333,-0.18981481481481483,1,0,0,square_18,0.014568090438842773,None,26.131946802139282,None,26.131946802139282,None,26.131946802139282,None,26.131946802139282,None,26.131946802139282,None,26.131946802139282,26.131946802139282,26.131946802139282,None,26.131946802139282,26.131946802139282,26.131946802139282,26.131946802139282,27.17556095123291,None,27.17556095123291,None,27.17556095123291,None,27.17556095123291,None,27.17556095123291,None,27.17556095123291,27.17556095123291,-0.5009259259259259,-0.1787037037037037,1,0,0,1.315467119216919,tree1_4,0.008726358413696289,None,27.17556095123291,None,27.17556095123291,27.17556095123291,None,27.17556095123291,None,,,,,,,0.008726358413696289,None,27.17556095123291,None,28.552486896514893,None,28.552486896514893,None,28.552486896514893,None,28.552486896514893,None,28.552486896514893,None,28.552486896514893,None,28.552486896514893,None,28.552486896514893,28.552486896514893,28.552486896514893,28.552486896514893,28.552486896514893,None,28.552486896514893,None,,001,2021_Jul_24_1526,untitled,2020.2.10,60.13520120319035,
5.9,5.8,6.3,5.8,5.8,0,0,0,0,0,3,3,3,,,29.593661785125732,None,29.593661785125732,None,29.593661785125732,None,29.593661785125732,None,29.593661785125732,None,29.593661785125732,29.593661785125732,29.593661785125732,None,29.593661785125732,29.593661785125732,-0.019444444444444445,-0.1935185185185185,1,0,0,square_18,0.013416528701782227,None,30.675201892852783,None,30.675201892852783,None,30.675201892852783,None,30.675201892852783,None,30.675201892852783,None,30.675201892852783,30.675201892852783,30.675201892852783,None,30.675201892852783,30.675201892852783,30.675201892852783,30.675201892852783,31.70979881286621,None,31.70979881286621,None,31.70979881286621,None,31.70979881286621,None,31.70979881286621,None,31.70979881286621,31.70979881286621,-0.4888888888888889,-0.19074074074074074,1,0,0,1.0330379009246826,tree1_4,0.0037925243377685547,None,31.70979881286621,None,31.70979881286621,31.70979881286621,None,31.70979881286621,None,,,,,,,0.0037925243377685547,None,31.70979881286621,None,32.80335783958435,None,32.80335783958435,None,32.80335783958435,None,32.80335783958435,None,32.80335783958435,None,32.80335783958435,None,32.80335783958435,None,32.80335783958435,32.80335783958435,32.80335783958435,32.80335783958435,32.80335783958435,None,32.80335783958435,None,,001,2021_Jul_24_1526,untitled,2020.2.10,60.13520120319035,
