rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,pos2.thisRepN,pos2.thisTrialN,pos2.thisN,pos2.thisIndex,reward3.thisRepN,reward3.thisTrialN,reward3.thisN,reward3.thisIndex,introtext.started,introtext.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,square_2.started,square_2.stopped,tree1_2.started,tree1_2.stopped,tree2_2.started,tree2_2.stopped,tree3_2.started,tree3_2.stopped,tree4_2.started,tree4_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,square_14.started,square_14.stopped,tree1_14.started,tree1_14.stopped,tree2_14.started,tree2_14.stopped,tree3_14.started,tree3_14.stopped,tree4_14.started,tree4_14.stopped,text_2.started,text_2.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,skip.started,skip.stopped,key_resp.rt,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,tree1_5.started,tree1_5.stopped,tree2_5.started,tree2_5.stopped,tree3_5.started,tree3_5.stopped,tree4_5.started,tree4_5.stopped,square_5.started,square_5.stopped,reward_3.started,reward_3.stopped,resp_3.x,resp_3.y,resp_3.leftButton,resp_3.midButton,resp_3.rightButton,resp_3.clicked_name,resp_3.started,resp_3.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,forward_7.started,forward_7.stopped,key_resp_2.rt,tree1_8.started,tree1_8.stopped,tree2_8.started,tree2_8.stopped,tree3_8.started,tree3_8.stopped,tree4_8.started,tree4_8.stopped,square_8.started,square_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,-0.45,-0.05,0.35,0.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.96174597740173,None,89.96174597740173,None,89.96174597740173,None,89.96174597740173,None,89.96174597740173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.5,-0.1,0.3,0.6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.45893001556396,None,90.45893001556396,None,90.45893001556396,None,90.45893001556396,None,90.45893001556396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.55,-0.15,0.25,0.6,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.96210193634033,None,90.96210193634033,None,90.96210193634033,None,90.96210193634033,None,90.96210193634033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.6,-0.2,0.2,0.6,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.45561599731445,None,91.45561599731445,None,91.45561599731445,None,91.45561599731445,None,91.45561599731445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
7.5,7.3,7.6,7.1,7.4,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.98690104484558,None,91.98690104484558,None,91.98690104484558,None,91.98690104484558,None,91.98690104484558,None,91.98690104484558,None,91.98690104484558,None,92.98458003997803,None,92.98458003997803,None,92.98458003997803,None,92.98458003997803,None,92.98458003997803,None,92.98458003997803,None,0.5203703703703704,-0.17222222222222222,1,0,0,tree2_5,0.0056307315826416016,None,None,92.98458003997803,None,92.98458003997803,None,,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.40806794166565,None,107.40806794166565,None,107.40806794166565,None,107.40806794166565,None,107.40806794166565,None,107.40806794166565,None,107.40806794166565,None,108.44571805000305,None,108.44571805000305,None,108.44571805000305,None,108.44571805000305,None,108.44571805000305,None,108.44571805000305,None,0.4842592592592593,-0.1925925925925926,1,0,0,tree2_5,0.0062487125396728516,None,None,108.44571805000305,None,108.44571805000305,None,,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.73595404624939,None,110.73595404624939,None,110.73595404624939,None,110.73595404624939,None,110.73595404624939,None,110.73595404624939,None,110.73595404624939,None,111.76441502571106,None,111.76441502571106,None,111.76441502571106,None,111.76441502571106,None,111.76441502571106,None,111.76441502571106,None,0.4935185185185185,-0.2,1,0,0,tree2_5,0.012064933776855469,None,None,111.76441502571106,None,111.76441502571106,None,,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
5.9,5.8,6.3,5.8,5.8,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.12408804893494,None,120.12408804893494,None,120.12408804893494,None,120.12408804893494,None,120.12408804893494,None,120.12408804893494,None,120.12408804893494,None,121.15089893341064,None,121.15089893341064,None,121.15089893341064,None,121.15089893341064,None,121.15089893341064,None,121.15089893341064,None,0.4962962962962963,-0.1712962962962963,0,0,0,tree2_5,0.011829853057861328,None,None,121.15089893341064,None,121.15089893341064,None,,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
5.1,5.1,5.9,5.3,5.1,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.50589203834534,None,123.50589203834534,None,123.50589203834534,None,123.50589203834534,None,123.50589203834534,None,123.50589203834534,None,123.50589203834534,None,124.5392279624939,None,124.5392279624939,None,124.5392279624939,None,124.5392279624939,None,124.5392279624939,None,124.5392279624939,None,-0.037037037037037035,-0.2074074074074074,0,0,0,,0.012447595596313477,None,space,124.5392279624939,None,124.5392279624939,None,2.166018009185791,,,,,,,,,,,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.2,0.2,0.6,-0.6,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.83698797225952,None,126.83698797225952,None,126.83698797225952,None,126.83698797225952,None,126.83698797225952,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.25,0.15,0.55,-0.6,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.33091592788696,None,127.33091592788696,None,127.33091592788696,None,127.33091592788696,None,127.33091592788696,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.3,0.1,0.5,-0.6,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.86442494392395,None,127.86442494392395,None,127.86442494392395,None,127.86442494392395,None,127.86442494392395,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.35,0.05,0.45,-0.6,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.35883593559265,None,128.35883593559265,None,128.35883593559265,None,128.35883593559265,None,128.35883593559265,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.4,0.0,0.4,0.6,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.8506190776825,None,128.8506190776825,None,128.8506190776825,None,128.8506190776825,None,128.8506190776825,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.45,-0.05,0.35,0.6,,,,,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.34689211845398,None,129.34689211845398,None,129.34689211845398,None,129.34689211845398,None,129.34689211845398,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.5,-0.1,0.3,0.6,,,,,,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.8399739265442,None,129.8399739265442,None,129.8399739265442,None,129.8399739265442,None,129.8399739265442,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.55,-0.15,0.25,0.6,,,,,,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.3295271396637,None,130.3295271396637,None,130.3295271396637,None,130.3295271396637,None,130.3295271396637,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
,,,,,-0.6,-0.2,0.2,0.6,,,,,,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.86574912071228,None,130.86574912071228,None,130.86574912071228,None,130.86574912071228,None,130.86574912071228,None,,001,2021_Jul_12_2131,untitled,2020.2.10,None,
