rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,introtext.started,introtext.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,square_2.started,square_2.stopped,tree1_2.started,tree1_2.stopped,tree2_2.started,tree2_2.stopped,tree3_2.started,tree3_2.stopped,tree4_2.started,tree4_2.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,8.444015979766846,None,-0.022222222222222223,-0.20277777777777778,1,0,0,square_2,0.01369476318359375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_13_2051,untitled,2020.2.10,60.06837043773407,
7.5,7.3,7.6,7.1,7.4,0,0,0,0,,,,,,,,,,,9.458595991134644,None,9.458595991134644,None,9.458595991134644,None,9.458595991134644,None,9.458595991134644,None,11.113172054290771,None,11.113172054290771,None,11.113172054290771,None,11.113172054290771,None,11.113172054290771,None,11.113172054290771,11.113172054290771,11.113172054290771,None,11.113172054290771,11.113172054290771,0.01574074074074074,-0.20833333333333334,1,0,0,square_18,0.011148691177368164,None,18.413866996765137,None,18.413866996765137,None,18.413866996765137,None,18.413866996765137,None,18.413866996765137,None,18.413866996765137,None,18.413866996765137,None,18.413866996765137,18.413866996765137,18.413866996765137,18.413866996765137,19.433637142181396,None,19.433637142181396,None,19.433637142181396,None,19.433637142181396,None,19.433637142181396,None,19.433637142181396,None,-0.5370370370370371,-0.1814814814814815,1,0,0,4.963145017623901,tree1_4,0.00012302398681640625,None,19.433637142181396,None,19.433637142181396,19.433637142181396,None,19.433637142181396,None,-0.006481481481481481,-0.20462962962962963,1,0,0,3.539536952972412,0.00012302398681640625,None,19.433637142181396,20.45700693130493,,001,2021_Jul_13_2051,untitled,2020.2.10,60.06837043773407,
7.1,6.9,7.1,6.6,6.8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,24.432454109191895,None,24.432454109191895,None,24.432454109191895,None,24.432454109191895,None,24.432454109191895,None,24.432454109191895,24.432454109191895,24.432454109191895,None,24.432454109191895,24.432454109191895,-0.026851851851851852,-0.18703703703703703,1,0,0,square_18,0.010880470275878906,None,27.448951959609985,None,27.448951959609985,None,27.448951959609985,None,27.448951959609985,None,27.448951959609985,None,27.448951959609985,None,27.448951959609985,None,27.448951959609985,27.448951959609985,27.448951959609985,27.448951959609985,28.471081018447876,None,28.471081018447876,None,28.471081018447876,None,28.471081018447876,None,28.471081018447876,None,28.471081018447876,None,-0.48333333333333334,-0.17222222222222222,1,0,0,16.973939895629883,tree1_4,0.005104780197143555,None,28.471081018447876,None,28.471081018447876,28.471081018447876,None,28.471081018447876,None,,,,,,,0.005104780197143555,None,28.471081018447876,29.494717121124268,,001,2021_Jul_13_2051,untitled,2020.2.10,60.06837043773407,
6.2,6.2,6.8,6.1,6.1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,45.47415494918823,None,45.47415494918823,None,45.47415494918823,None,45.47415494918823,None,45.47415494918823,None,45.47415494918823,45.47415494918823,45.47415494918823,None,45.47415494918823,45.47415494918823,0.004629629629629629,-0.2037037037037037,1,0,0,square_18,0.015114307403564453,None,47.11646914482117,None,47.11646914482117,None,47.11646914482117,None,47.11646914482117,None,47.11646914482117,None,47.11646914482117,None,47.11646914482117,None,47.11646914482117,47.11646914482117,47.11646914482117,47.11646914482117,48.14342498779297,None,48.14342498779297,None,48.14342498779297,None,48.14342498779297,None,48.14342498779297,None,48.14342498779297,None,-0.5287037037037037,-0.1935185185185185,1,0,0,2.7123870849609375,tree1_4,0.004215240478515625,None,48.14342498779297,None,48.14342498779297,48.14342498779297,None,48.14342498779297,None,-0.005555555555555556,-0.22870370370370371,1,0,0,1.8774280548095703,0.004215240478515625,None,48.14342498779297,49.171793937683105,,001,2021_Jul_13_2051,untitled,2020.2.10,60.06837043773407,
5.9,5.8,6.3,5.8,5.8,0,3,3,3,,,,,,,,,,,,,,,,,,,,,50.887500047683716,None,50.887500047683716,None,50.887500047683716,None,50.887500047683716,None,50.887500047683716,None,50.887500047683716,50.887500047683716,50.887500047683716,None,50.887500047683716,50.887500047683716,0.012037037037037037,-0.19074074074074074,1,0,0,square_18,0.014503240585327148,None,57.98796200752258,None,57.98796200752258,None,57.98796200752258,None,57.98796200752258,None,57.98796200752258,None,57.98796200752258,None,57.98796200752258,None,57.98796200752258,57.98796200752258,57.98796200752258,57.98796200752258,59.016217947006226,None,59.016217947006226,None,59.016217947006226,None,59.016217947006226,None,59.016217947006226,None,59.016217947006226,None,-0.5055555555555555,-0.20185185185185187,1,0,0,13.57342791557312,tree1_4,0.00405573844909668,None,59.016217947006226,None,59.016217947006226,59.016217947006226,None,59.016217947006226,None,0.007407407407407408,-0.21296296296296297,1,0,0,10.140002965927124,0.00405573844909668,None,59.016217947006226,60.07326292991638,,001,2021_Jul_13_2051,untitled,2020.2.10,60.06837043773407,
5.1,5.1,5.9,5.3,5.1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,72.65490913391113,None,72.65490913391113,None,72.65490913391113,None,72.65490913391113,None,72.65490913391113,None,72.65490913391113,72.65490913391113,72.65490913391113,None,72.65490913391113,72.65490913391113,-0.04259259259259259,-0.21666666666666667,1,0,0,square_18,0.008272647857666016,None,99.06671214103699,None,99.06671214103699,None,99.06671214103699,None,99.06671214103699,None,99.06671214103699,None,99.06671214103699,None,99.06671214103699,None,99.06671214103699,99.06671214103699,99.06671214103699,99.06671214103699,100.1159839630127,None,100.1159839630127,None,100.1159839630127,None,100.1159839630127,None,100.1159839630127,None,100.1159839630127,None,-0.5435185185185185,-0.20462962962962963,1,0,0,2.3191020488739014,tree1_4,0.005540132522583008,None,100.1159839630127,None,100.1159839630127,100.1159839630127,None,100.1159839630127,None,-0.5509259259259259,-0.2111111111111111,1,0,0,0.46746301651000977,0.005540132522583008,None,100.1159839630127,101.23545002937317,,001,2021_Jul_13_2051,untitled,2020.2.10,60.06837043773407,
4.8,4.6,5.4,4.8,4.6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,102.50803995132446,None,102.50803995132446,None,102.50803995132446,None,102.50803995132446,None,102.50803995132446,None,102.50803995132446,102.50803995132446,102.50803995132446,None,102.50803995132446,102.50803995132446,0.03796296296296296,-0.2175925925925926,1,0,0,square_18,0.006800413131713867,None,104.310711145401,None,104.310711145401,None,104.310711145401,None,104.310711145401,None,104.310711145401,None,104.310711145401,None,104.310711145401,None,104.310711145401,104.310711145401,104.310711145401,104.310711145401,105.32130813598633,None,105.32130813598633,None,105.32130813598633,None,105.32130813598633,None,105.32130813598633,None,105.32130813598633,None,-0.5148148148148148,-0.18796296296296297,1,0,0,2.374488115310669,tree1_4,0.003442049026489258,None,105.32130813598633,None,105.32130813598633,105.32130813598633,None,105.32130813598633,None,-0.5148148148148148,-0.18796296296296297,1,0,0,1.6865768432617188,0.003442049026489258,None,105.32130813598633,106.42777895927429,,001,2021_Jul_13_2051,untitled,2020.2.10,60.06837043773407,
4.0,4.0,4.6,4.0,4.1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,107.76575708389282,None,107.76575708389282,None,107.76575708389282,None,107.76575708389282,None,107.76575708389282,None,107.76575708389282,107.76575708389282,107.76575708389282,None,107.76575708389282,107.76575708389282,0.009259259259259259,-0.19814814814814816,1,0,0,square_18,0.00899958610534668,None,108.74383997917175,None,108.74383997917175,None,108.74383997917175,None,108.74383997917175,None,108.74383997917175,None,108.74383997917175,None,108.74383997917175,None,108.74383997917175,108.74383997917175,108.74383997917175,108.74383997917175,109.77215003967285,None,109.77215003967285,None,109.77215003967285,None,109.77215003967285,None,109.77215003967285,None,109.77215003967285,None,-0.5435185185185185,-0.1814814814814815,1,0,0,4.1238038539886475,tree1_4,0.0036618709564208984,None,109.77215003967285,None,109.77215003967285,109.77215003967285,None,109.77215003967285,None,-0.4685185185185185,-0.175,1,0,0,2.20253586769104,0.0036618709564208984,None,109.77215003967285,110.89436197280884,,001,2021_Jul_13_2051,untitled,2020.2.10,60.06837043773407,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.96414303779602,None,113.96414303779602,None,113.96414303779602,None,113.96414303779602,None,113.96414303779602,None,113.96414303779602,113.96414303779602,113.96414303779602,None,113.96414303779602,113.96414303779602,0.003703703703703704,-0.1925925925925926,1,0,0,square_18,0.007853507995605469,None,117.36314105987549,None,117.36314105987549,None,117.36314105987549,None,117.36314105987549,None,117.36314105987549,None,117.36314105987549,None,117.36314105987549,None,117.36314105987549,117.36314105987549,117.36314105987549,117.36314105987549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
