rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,square_2.started,square_2.stopped,tree1_2.started,tree1_2.stopped,tree2_2.started,tree2_2.stopped,tree3_2.started,tree3_2.stopped,tree4_2.started,tree4_2.stopped,forward_14.started,forward_14.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,key_resp.rt,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,5.156436920166016,None,0.013888888888888888,-0.22870370370370371,1,0,0,square_2,0.013336420059204102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,6.17401909828186,None,6.17401909828186,None,6.17401909828186,None,6.17401909828186,None,6.17401909828186,None,6.17401909828186,None,7.104717016220093,None,7.104717016220093,None,7.104717016220093,None,7.104717016220093,None,7.104717016220093,None,7.104717016220093,7.104717016220093,7.104717016220093,None,7.104717016220093,7.104717016220093,-0.004629629629629629,-0.19444444444444445,1,0,0,square_18,0.002308368682861328,None,10.424041032791138,None,10.424041032791138,None,10.424041032791138,None,10.424041032791138,None,10.424041032791138,None,10.424041032791138,10.424041032791138,10.424041032791138,None,10.424041032791138,10.424041032791138,10.424041032791138,10.424041032791138,11.445677042007446,None,11.445677042007446,None,11.445677042007446,None,11.445677042007446,None,11.445677042007446,None,11.445677042007446,11.445677042007446,-0.5101851851851852,-0.18611111111111112,1,0,0,4.032799959182739,tree1_4,0.015155553817749023,None,11.445677042007446,None,11.445677042007446,11.445677042007446,None,11.445677042007446,None,-0.5101851851851852,-0.18611111111111112,1,0,0,2.2218539714813232,0.015155553817749023,None,11.445677042007446,None,15.52817702293396,None,15.52817702293396,None,15.52817702293396,None,15.52817702293396,None,15.52817702293396,None,15.52817702293396,15.52817702293396,15.52817702293396,None,15.52817702293396,15.52817702293396,15.52817702293396,15.52817702293396,15.52817702293396,None,15.52817702293396,None,,,,,,,,,,,,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.53587007522583,None,16.53587007522583,None,16.53587007522583,None,16.53587007522583,None,16.53587007522583,None,16.53587007522583,16.53587007522583,16.53587007522583,None,16.53587007522583,16.53587007522583,0.018518518518518517,-0.2037037037037037,1,0,0,square_18,0.0031752586364746094,None,17.396844148635864,None,17.396844148635864,None,17.396844148635864,None,17.396844148635864,None,17.396844148635864,None,17.396844148635864,17.396844148635864,17.396844148635864,None,17.396844148635864,17.396844148635864,17.396844148635864,17.396844148635864,18.41790199279785,None,18.41790199279785,None,18.41790199279785,None,18.41790199279785,None,18.41790199279785,None,18.41790199279785,18.41790199279785,-0.524074074074074,-0.19722222222222222,1,0,0,1.1986768245697021,tree1_4,0.0049593448638916016,None,18.41790199279785,None,18.41790199279785,18.41790199279785,None,18.41790199279785,None,,,,,,,0.0049593448638916016,None,18.41790199279785,None,19.654130935668945,None,19.654130935668945,None,19.654130935668945,None,19.654130935668945,None,19.654130935668945,None,19.654130935668945,19.654130935668945,19.654130935668945,None,19.654130935668945,19.654130935668945,19.654130935668945,19.654130935668945,19.654130935668945,None,19.654130935668945,None,,,,,,,,,,,,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
6.2,6.2,6.8,6.1,6.1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.690648078918457,None,20.690648078918457,None,20.690648078918457,None,20.690648078918457,None,20.690648078918457,None,20.690648078918457,20.690648078918457,20.690648078918457,None,20.690648078918457,20.690648078918457,0.000925925925925926,-0.1935185185185185,1,0,0,square_18,0.007418155670166016,None,21.978753089904785,None,21.978753089904785,None,21.978753089904785,None,21.978753089904785,None,21.978753089904785,None,21.978753089904785,21.978753089904785,21.978753089904785,None,21.978753089904785,21.978753089904785,21.978753089904785,21.978753089904785,22.998614072799683,None,22.998614072799683,None,22.998614072799683,None,22.998614072799683,None,22.998614072799683,None,22.998614072799683,22.998614072799683,-0.5148148148148148,-0.18703703703703703,1,0,0,1.5395519733428955,tree1_4,0.0034062862396240234,None,22.998614072799683,None,22.998614072799683,22.998614072799683,None,22.998614072799683,None,,,,,,,0.0034062862396240234,None,22.998614072799683,None,24.58295702934265,None,24.58295702934265,None,24.58295702934265,None,24.58295702934265,None,24.58295702934265,None,24.58295702934265,24.58295702934265,24.58295702934265,None,24.58295702934265,24.58295702934265,24.58295702934265,24.58295702934265,24.58295702934265,None,24.58295702934265,None,,,,,,,,,,,,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
5.9,5.8,6.3,5.8,5.8,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.592786073684692,None,25.592786073684692,None,25.592786073684692,None,25.592786073684692,None,25.592786073684692,None,25.592786073684692,25.592786073684692,25.592786073684692,None,25.592786073684692,25.592786073684692,-0.025,-0.1925925925925926,1,0,0,square_18,0.006739377975463867,None,26.48488211631775,None,26.48488211631775,None,26.48488211631775,None,26.48488211631775,None,26.48488211631775,None,26.48488211631775,26.48488211631775,26.48488211631775,None,26.48488211631775,26.48488211631775,26.48488211631775,26.48488211631775,27.516173124313354,None,27.516173124313354,None,27.516173124313354,None,27.516173124313354,None,27.516173124313354,None,27.516173124313354,27.516173124313354,-0.4925925925925926,-0.15648148148148147,1,0,0,3.283719062805176,tree1_4,0.0035452842712402344,None,27.516173124313354,None,27.516173124313354,27.516173124313354,None,27.516173124313354,None,-0.4925925925925926,-0.15648148148148147,1,0,0,0.823707103729248,0.0035452842712402344,None,27.516173124313354,None,30.841175079345703,None,30.841175079345703,None,30.841175079345703,None,30.841175079345703,None,30.841175079345703,None,30.841175079345703,30.841175079345703,30.841175079345703,None,30.841175079345703,30.841175079345703,30.841175079345703,30.841175079345703,30.841175079345703,None,30.841175079345703,None,,,,,,,,,,,,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
5.1,5.1,5.9,5.3,5.1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.840731143951416,None,31.840731143951416,None,31.840731143951416,None,31.840731143951416,None,31.840731143951416,None,31.840731143951416,31.840731143951416,31.840731143951416,None,31.840731143951416,31.840731143951416,0.007407407407407408,-0.20555555555555555,1,0,0,square_18,0.011963605880737305,None,33.079795122146606,None,33.079795122146606,None,33.079795122146606,None,33.079795122146606,None,33.079795122146606,None,33.079795122146606,33.079795122146606,33.079795122146606,None,33.079795122146606,33.079795122146606,33.079795122146606,33.079795122146606,34.09518313407898,None,34.09518313407898,None,34.09518313407898,None,34.09518313407898,None,34.09518313407898,None,34.09518313407898,34.09518313407898,-0.5027777777777778,-0.18333333333333332,1,0,0,0.9142448902130127,tree1_4,0.004643678665161133,None,34.09518313407898,None,34.09518313407898,34.09518313407898,None,34.09518313407898,None,,,,,,,0.004643678665161133,None,34.09518313407898,None,35.06494402885437,None,35.06494402885437,None,35.06494402885437,None,35.06494402885437,None,35.06494402885437,None,35.06494402885437,35.06494402885437,35.06494402885437,None,35.06494402885437,35.06494402885437,35.06494402885437,35.06494402885437,35.06494402885437,None,35.06494402885437,None,,,,,,,,,,,,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
4.8,4.6,5.4,4.8,4.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.10120391845703,None,36.10120391845703,None,36.10120391845703,None,36.10120391845703,None,36.10120391845703,None,36.10120391845703,36.10120391845703,36.10120391845703,None,36.10120391845703,36.10120391845703,-0.03981481481481482,-0.1962962962962963,1,0,0,square_18,0.006158590316772461,None,36.956520080566406,None,36.956520080566406,None,36.956520080566406,None,36.956520080566406,None,36.956520080566406,None,36.956520080566406,36.956520080566406,36.956520080566406,None,36.956520080566406,36.956520080566406,36.956520080566406,36.956520080566406,37.97582507133484,None,37.97582507133484,None,37.97582507133484,None,37.97582507133484,None,37.97582507133484,None,37.97582507133484,37.97582507133484,-0.5101851851851852,-0.1935185185185185,1,0,0,0.9112238883972168,tree1_4,0.0030045509338378906,None,37.97582507133484,None,37.97582507133484,37.97582507133484,None,37.97582507133484,None,,,,,,,0.0030045509338378906,None,37.97582507133484,None,38.934370040893555,None,38.934370040893555,None,38.934370040893555,None,38.934370040893555,None,38.934370040893555,None,38.934370040893555,38.934370040893555,38.934370040893555,None,38.934370040893555,38.934370040893555,38.934370040893555,38.934370040893555,38.934370040893555,None,38.934370040893555,None,,,,,,,,,,,,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
4.0,4.0,4.6,4.0,4.1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.94593095779419,None,39.94593095779419,None,39.94593095779419,None,39.94593095779419,None,39.94593095779419,None,39.94593095779419,39.94593095779419,39.94593095779419,None,39.94593095779419,39.94593095779419,-0.025,-0.20277777777777778,1,0,0,square_18,0.00651240348815918,None,42.02550005912781,None,42.02550005912781,None,42.02550005912781,None,42.02550005912781,None,42.02550005912781,None,42.02550005912781,42.02550005912781,42.02550005912781,None,42.02550005912781,42.02550005912781,42.02550005912781,42.02550005912781,43.0459840297699,None,43.0459840297699,None,43.0459840297699,None,43.0459840297699,None,43.0459840297699,None,43.0459840297699,43.0459840297699,,,,,,,,0.003190279006958008,None,43.0459840297699,None,43.0459840297699,43.0459840297699,space,43.0459840297699,None,,,,,,,0.003190279006958008,None,43.0459840297699,None,43.43147802352905,None,43.43147802352905,None,43.43147802352905,None,43.43147802352905,None,43.43147802352905,None,43.43147802352905,43.43147802352905,43.43147802352905,None,43.43147802352905,43.43147802352905,43.43147802352905,43.43147802352905,43.43147802352905,None,43.43147802352905,None,0.30563902854919434,,,,,,,,,,,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
,,,,,-0.2,0.2,0.6,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.451071977615356,None,44.451071977615356,None,44.451071977615356,None,44.451071977615356,None,44.451071977615356,None,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
,,,,,-0.25,0.15,0.55,-0.6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.968191146850586,None,44.968191146850586,None,44.968191146850586,None,44.968191146850586,None,44.968191146850586,None,,001,2021_Jul_14_2027,untitled,2020.2.10,59.99336316096623,
