rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,introtext.started,introtext.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,square_2.started,square_2.stopped,tree1_2.started,tree1_2.stopped,tree2_2.started,tree2_2.stopped,tree3_2.started,tree3_2.stopped,tree4_2.started,tree4_2.stopped,forward_14.started,forward_14.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.730333089828491,None,0.01574074074074074,-0.16666666666666666,1,0,0,square_2,0.013782978057861328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
7.5,7.3,7.6,7.1,7.4,0,0,0,0,,,,,,,,,,,10.722881078720093,None,10.722881078720093,None,10.722881078720093,None,10.722881078720093,None,10.722881078720093,None,10.722881078720093,None,17.82176113128662,None,17.82176113128662,None,17.82176113128662,None,17.82176113128662,None,17.82176113128662,None,17.82176113128662,17.82176113128662,17.82176113128662,None,17.82176113128662,17.82176113128662,-0.024074074074074074,-0.1962962962962963,1,0,0,square_18,0.006912946701049805,None,19.01591205596924,None,19.01591205596924,None,19.01591205596924,None,19.01591205596924,None,19.01591205596924,None,19.01591205596924,19.01591205596924,19.01591205596924,None,19.01591205596924,19.01591205596924,19.01591205596924,19.01591205596924,20.02064800262451,None,20.02064800262451,None,20.02064800262451,None,20.02064800262451,None,20.02064800262451,None,20.02064800262451,20.02064800262451,-0.4666666666666667,-0.1824074074074074,1,0,0,1.5994648933410645,tree1_4,0.012758255004882812,None,20.02064800262451,None,20.02064800262451,20.02064800262451,None,20.02064800262451,None,0.012758255004882812,None,20.02064800262451,None,21.690463066101074,None,21.690463066101074,None,21.690463066101074,None,21.690463066101074,None,21.690463066101074,None,21.690463066101074,None,21.690463066101074,None,21.690463066101074,21.690463066101074,21.690463066101074,21.690463066101074,21.690463066101074,None,21.690463066101074,None,,,,,,,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
7.1,6.9,7.1,6.6,6.8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,22.7150559425354,None,22.7150559425354,None,22.7150559425354,None,22.7150559425354,None,22.7150559425354,None,22.7150559425354,22.7150559425354,22.7150559425354,None,22.7150559425354,22.7150559425354,0.004629629629629629,-0.2175925925925926,1,0,0,square_18,0.00444483757019043,None,25.229546070098877,None,25.229546070098877,None,25.229546070098877,None,25.229546070098877,None,25.229546070098877,None,25.229546070098877,25.229546070098877,25.229546070098877,None,25.229546070098877,25.229546070098877,25.229546070098877,25.229546070098877,26.234137058258057,None,26.234137058258057,None,26.234137058258057,None,26.234137058258057,None,26.234137058258057,None,26.234137058258057,26.234137058258057,-0.5138888888888888,-0.2074074074074074,1,0,0,2.5277259349823,tree1_4,0.012917280197143555,None,26.234137058258057,None,26.234137058258057,26.234137058258057,None,26.234137058258057,None,0.012917280197143555,None,26.234137058258057,None,28.824732065200806,None,28.824732065200806,None,28.824732065200806,None,28.824732065200806,None,28.824732065200806,None,28.824732065200806,None,28.824732065200806,None,28.824732065200806,28.824732065200806,28.824732065200806,28.824732065200806,28.824732065200806,None,28.824732065200806,None,-0.5138888888888888,-0.2074074074074074,1,0,0,0.8602299690246582,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
6.2,6.2,6.8,6.1,6.1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,29.850470066070557,None,29.850470066070557,None,29.850470066070557,None,29.850470066070557,None,29.850470066070557,None,29.850470066070557,29.850470066070557,29.850470066070557,None,29.850470066070557,29.850470066070557,-0.017592592592592594,-0.19814814814814816,1,0,0,square_18,0.014497995376586914,None,30.52134895324707,None,30.52134895324707,None,30.52134895324707,None,30.52134895324707,None,30.52134895324707,None,30.52134895324707,30.52134895324707,30.52134895324707,None,30.52134895324707,30.52134895324707,30.52134895324707,30.52134895324707,31.55143094062805,None,31.55143094062805,None,31.55143094062805,None,31.55143094062805,None,31.55143094062805,None,31.55143094062805,31.55143094062805,-0.5138888888888888,-0.18888888888888888,1,0,0,5.292495012283325,tree1_4,0.0044040679931640625,None,31.55143094062805,None,31.55143094062805,31.55143094062805,None,31.55143094062805,None,0.0044040679931640625,None,31.55143094062805,None,36.9172739982605,None,36.9172739982605,None,36.9172739982605,None,36.9172739982605,None,36.9172739982605,None,36.9172739982605,None,36.9172739982605,None,36.9172739982605,36.9172739982605,36.9172739982605,36.9172739982605,36.9172739982605,None,36.9172739982605,None,-0.5138888888888888,-0.18888888888888888,1,0,0,1.2903270721435547,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
5.9,5.8,6.3,5.8,5.8,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,37.92598009109497,None,37.92598009109497,None,37.92598009109497,None,37.92598009109497,None,37.92598009109497,None,37.92598009109497,37.92598009109497,37.92598009109497,None,37.92598009109497,37.92598009109497,0.02962962962962963,-0.19907407407407407,1,0,0,square_18,0.014600992202758789,None,38.60295915603638,None,38.60295915603638,None,38.60295915603638,None,38.60295915603638,None,38.60295915603638,None,38.60295915603638,38.60295915603638,38.60295915603638,None,38.60295915603638,38.60295915603638,38.60295915603638,38.60295915603638,39.64149808883667,None,39.64149808883667,None,39.64149808883667,None,39.64149808883667,None,39.64149808883667,None,39.64149808883667,39.64149808883667,-0.4925925925925926,-0.18333333333333332,1,0,0,4.951319932937622,tree1_4,0.008524656295776367,None,39.64149808883667,None,39.64149808883667,39.64149808883667,None,39.64149808883667,None,0.008524656295776367,None,39.64149808883667,None,44.66723299026489,None,44.66723299026489,None,44.66723299026489,None,44.66723299026489,None,44.66723299026489,None,44.66723299026489,None,44.66723299026489,None,44.66723299026489,44.66723299026489,44.66723299026489,44.66723299026489,44.66723299026489,None,44.66723299026489,None,-0.4925925925925926,-0.18333333333333332,1,0,0,1.4507038593292236,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
5.1,5.1,5.9,5.3,5.1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,45.68489694595337,None,45.68489694595337,None,45.68489694595337,None,45.68489694595337,None,45.68489694595337,None,45.68489694595337,45.68489694595337,45.68489694595337,None,45.68489694595337,45.68489694595337,0.001851851851851852,-0.20833333333333334,1,0,0,square_18,0.007783174514770508,None,49.7747540473938,None,49.7747540473938,None,49.7747540473938,None,49.7747540473938,None,49.7747540473938,None,49.7747540473938,49.7747540473938,49.7747540473938,None,49.7747540473938,49.7747540473938,49.7747540473938,49.7747540473938,50.78995394706726,None,50.78995394706726,None,50.78995394706726,None,50.78995394706726,None,50.78995394706726,None,50.78995394706726,50.78995394706726,-0.49907407407407406,-0.18703703703703703,1,0,0,1.1878440380096436,tree1_4,0.01387786865234375,None,50.78995394706726,None,50.78995394706726,50.78995394706726,None,50.78995394706726,None,0.01387786865234375,None,50.78995394706726,None,52.046669006347656,None,52.046669006347656,None,52.046669006347656,None,52.046669006347656,None,52.046669006347656,None,52.046669006347656,None,52.046669006347656,None,52.046669006347656,52.046669006347656,52.046669006347656,52.046669006347656,52.046669006347656,None,52.046669006347656,None,,,,,,,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
4.8,4.6,5.4,4.8,4.6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,53.0807580947876,None,53.0807580947876,None,53.0807580947876,None,53.0807580947876,None,53.0807580947876,None,53.0807580947876,53.0807580947876,53.0807580947876,None,53.0807580947876,53.0807580947876,0.014814814814814815,-0.18611111111111112,1,0,0,square_18,0.014213323593139648,None,53.7476761341095,None,53.7476761341095,None,53.7476761341095,None,53.7476761341095,None,53.7476761341095,None,53.7476761341095,53.7476761341095,53.7476761341095,None,53.7476761341095,53.7476761341095,53.7476761341095,53.7476761341095,54.77854514122009,None,54.77854514122009,None,54.77854514122009,None,54.77854514122009,None,54.77854514122009,None,54.77854514122009,54.77854514122009,-0.4925925925925926,-0.15462962962962962,1,0,0,1.530207872390747,tree1_4,0.0033402442932128906,None,54.77854514122009,None,54.77854514122009,54.77854514122009,None,54.77854514122009,None,0.0033402442932128906,None,54.77854514122009,None,56.37183594703674,None,56.37183594703674,None,56.37183594703674,None,56.37183594703674,None,56.37183594703674,None,56.37183594703674,None,56.37183594703674,None,56.37183594703674,56.37183594703674,56.37183594703674,56.37183594703674,56.37183594703674,None,56.37183594703674,None,0.014814814814814815,-0.18611111111111112,1,0,0,0.24599194526672363,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
4.0,4.0,4.6,4.0,4.1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,57.407339096069336,None,57.407339096069336,None,57.407339096069336,None,57.407339096069336,None,57.407339096069336,None,57.407339096069336,57.407339096069336,57.407339096069336,None,57.407339096069336,57.407339096069336,0.007407407407407408,-0.1962962962962963,1,0,0,square_18,0.014492988586425781,None,57.94036912918091,None,57.94036912918091,None,57.94036912918091,None,57.94036912918091,None,57.94036912918091,None,57.94036912918091,57.94036912918091,57.94036912918091,None,57.94036912918091,57.94036912918091,57.94036912918091,57.94036912918091,58.9483380317688,None,58.9483380317688,None,58.9483380317688,None,58.9483380317688,None,58.9483380317688,None,58.9483380317688,58.9483380317688,0.007407407407407408,-0.1962962962962963,1,0,0,0.06922483444213867,tree1_4,0.013701915740966797,None,58.9483380317688,None,58.9483380317688,58.9483380317688,None,58.9483380317688,None,0.013701915740966797,None,58.9483380317688,None,63.05301308631897,None,63.05301308631897,None,63.05301308631897,None,63.05301308631897,None,63.05301308631897,None,63.05301308631897,None,63.05301308631897,None,63.05301308631897,63.05301308631897,63.05301308631897,63.05301308631897,63.05301308631897,None,63.05301308631897,None,-0.4981481481481482,-0.20185185185185187,1,0,0,1.403869867324829,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
3.1,3.2,3.9,3.6,3.6,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,64.07694602012634,None,64.07694602012634,None,64.07694602012634,None,64.07694602012634,None,64.07694602012634,None,64.07694602012634,64.07694602012634,64.07694602012634,None,64.07694602012634,64.07694602012634,0.016666666666666666,-0.2074074074074074,1,0,0,square_18,0.0067408084869384766,None,64.60007810592651,None,64.60007810592651,None,64.60007810592651,None,64.60007810592651,None,64.60007810592651,None,64.60007810592651,64.60007810592651,64.60007810592651,None,64.60007810592651,64.60007810592651,64.60007810592651,64.60007810592651,65.606938123703,None,65.606938123703,None,65.606938123703,None,65.606938123703,None,65.606938123703,None,65.606938123703,65.606938123703,-0.5157407407407407,-0.17777777777777778,1,0,0,4.7910988330841064,tree1_4,0.013872861862182617,None,65.606938123703,None,65.606938123703,65.606938123703,None,65.606938123703,None,0.013872861862182617,None,65.606938123703,None,70.475741147995,None,70.475741147995,None,70.475741147995,None,70.475741147995,None,70.475741147995,None,70.475741147995,None,70.475741147995,None,70.475741147995,70.475741147995,70.475741147995,70.475741147995,70.475741147995,None,70.475741147995,None,-0.5157407407407407,-0.17777777777777778,1,0,0,1.2819831371307373,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
2.6,2.4,3.2,3.1,2.8,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,71.49504399299622,None,71.49504399299622,None,71.49504399299622,None,71.49504399299622,None,71.49504399299622,None,71.49504399299622,71.49504399299622,71.49504399299622,None,71.49504399299622,71.49504399299622,0.005555555555555556,-0.2111111111111111,1,0,0,square_18,0.0064508914947509766,None,72.74740600585938,None,72.74740600585938,None,72.74740600585938,None,72.74740600585938,None,72.74740600585938,None,72.74740600585938,72.74740600585938,72.74740600585938,None,72.74740600585938,72.74740600585938,72.74740600585938,72.74740600585938,73.77501010894775,None,73.77501010894775,None,73.77501010894775,None,73.77501010894775,None,73.77501010894775,None,73.77501010894775,73.77501010894775,0.005555555555555556,-0.2111111111111111,1,0,0,0.2877469062805176,tree1_4,0.005443096160888672,None,73.77501010894775,None,73.77501010894775,73.77501010894775,None,73.77501010894775,None,0.005443096160888672,None,73.77501010894775,None,75.2949891090393,None,75.2949891090393,None,75.2949891090393,None,75.2949891090393,None,75.2949891090393,None,75.2949891090393,None,75.2949891090393,None,75.2949891090393,75.2949891090393,75.2949891090393,75.2949891090393,75.2949891090393,None,75.2949891090393,None,,,,,,,,001,2021_Jul_17_0204,untitled,2020.2.10,59.89381541932628,
