rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,5.078968048095703,None,6.104671001434326,None,6.104671001434326,6.104671001434326,6.104671001434326,6.104671001434326,6.104671001434326,6.104671001434326,6.104671001434326,None,6.104671001434326,6.104671001434326,6.104671001434326,None,6.104671001434326,6.104671001434326,-0.016666666666666666,-0.22962962962962963,1,0,0,square_18,0.012770414352416992,None,17.791873931884766,None,17.791873931884766,17.791873931884766,17.791873931884766,17.791873931884766,17.791873931884766,17.791873931884766,17.791873931884766,None,17.791873931884766,17.791873931884766,17.791873931884766,None,17.791873931884766,17.791873931884766,17.791873931884766,17.791873931884766,18.8067729473114,None,18.8067729473114,18.8067729473114,18.8067729473114,18.8067729473114,18.8067729473114,18.8067729473114,18.8067729473114,None,18.8067729473114,18.8067729473114,0.001054525375366211,0.001054525375366211,18.8067729473114,None,None,18.8067729473114,18.8067729473114,0.47685185185185186,-0.21851851851851853,1,0,0,skipsq,0.001054525375366211,None,18.8067729473114,None,18.8067729473114,None,20.64940905570984,None,20.64940905570984,20.64940905570984,20.64940905570984,20.64940905570984,20.64940905570984,20.64940905570984,20.64940905570984,None,20.64940905570984,20.64940905570984,20.64940905570984,None,20.64940905570984,20.64940905570984,20.64940905570984,20.64940905570984,20.64940905570984,None,20.64940905570984,None,,,,,,,,,,,,001,2021_Jul_27_1621,untitled,2020.2.10,60.97001289377247,
,,,,,-0.2,0.2,0.6,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.678340911865234,None,21.678340911865234,None,21.678340911865234,None,21.678340911865234,None,21.678340911865234,None,,001,2021_Jul_27_1621,untitled,2020.2.10,60.97001289377247,
,,,,,-0.25,0.15,0.55,-0.6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.168380975723267,None,22.168380975723267,None,22.168380975723267,None,22.168380975723267,None,22.168380975723267,None,,001,2021_Jul_27_1621,untitled,2020.2.10,60.97001289377247,
,,,,,-0.3,0.1,0.5,-0.6,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.674531936645508,None,22.674531936645508,None,22.674531936645508,None,22.674531936645508,None,22.674531936645508,None,,001,2021_Jul_27_1621,untitled,2020.2.10,60.97001289377247,
