rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,time_bound.thisRepN,time_bound.thisTrialN,time_bound.thisN,time_bound.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,key_resp.rt,tree.started,tree.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.664708852767944,None,9.689131021499634,None,9.689131021499634,None,9.689131021499634,None,9.689131021499634,None,9.689131021499634,None,9.689131021499634,9.689131021499634,9.689131021499634,None,9.689131021499634,9.689131021499634,-0.000925925925925926,-0.1935185185185185,1,0,0,square_18,0.007851600646972656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,10.91663408279419,None,10.91663408279419,None,10.91663408279419,None,10.91663408279419,None,10.91663408279419,None,10.91663408279419,10.91663408279419,10.91663408279419,None,10.91663408279419,10.91663408279419,-0.000925925925925926,-0.1935185185185185,1,0,0,square_18,0.0077931880950927734,None,12.927842855453491,None,12.927842855453491,None,12.927842855453491,None,12.927842855453491,None,12.927842855453491,None,12.927842855453491,12.927842855453491,12.927842855453491,None,12.927842855453491,12.927842855453491,12.927842855453491,12.927842855453491,13.972468852996826,None,13.972468852996826,None,13.972468852996826,None,13.972468852996826,None,13.972468852996826,None,13.972468852996826,13.972468852996826,-0.5231481481481481,-0.20833333333333334,1,0,0,1.5632519721984863,tree1_4,0.0069615840911865234,None,13.972468852996826,None,13.972468852996826,13.972468852996826,None,13.972468852996826,None,-0.5231481481481481,-0.20833333333333334,1,0,0,0.10414886474609375,0.0069615840911865234,None,13.972468852996826,None,15.60518503189087,None,15.60518503189087,None,15.60518503189087,None,15.60518503189087,None,15.60518503189087,None,15.60518503189087,None,15.60518503189087,None,15.60518503189087,15.60518503189087,15.60518503189087,15.60518503189087,15.60518503189087,None,15.60518503189087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,16.633864879608154,None,16.633864879608154,None,16.633864879608154,None,16.633864879608154,None,16.633864879608154,None,16.633864879608154,16.633864879608154,16.633864879608154,None,16.633864879608154,16.633864879608154,-0.028703703703703703,-0.21851851851851853,1,0,0,square_18,0.012569427490234375,None,18.15683102607727,None,18.15683102607727,None,18.15683102607727,None,18.15683102607727,None,18.15683102607727,None,18.15683102607727,18.15683102607727,18.15683102607727,None,18.15683102607727,18.15683102607727,18.15683102607727,18.15683102607727,19.163810968399048,None,19.163810968399048,None,19.163810968399048,None,19.163810968399048,None,19.163810968399048,None,19.163810968399048,19.163810968399048,,,,,,,,0.012023687362670898,None,19.163810968399048,None,19.163810968399048,19.163810968399048,space,19.163810968399048,None,,,,,,,0.012023687362670898,None,19.163810968399048,None,19.588446855545044,None,19.588446855545044,None,19.588446855545044,None,19.588446855545044,None,19.588446855545044,None,19.588446855545044,None,19.588446855545044,None,19.588446855545044,19.588446855545044,19.588446855545044,19.588446855545044,19.588446855545044,None,19.588446855545044,None,0.31292295455932617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
,,,,,-0.2,0.2,0.6,-0.6,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.597671031951904,None,20.597671031951904,21.626834869384766,20.597671031951904,21.626834869384766,24.620265007019043,None,24.620265007019043,None,24.620265007019043,None,24.620265007019043,None,24.620265007019043,None,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
,,,,,-0.25,0.15,0.55,-0.6,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.101075887680054,None,25.101075887680054,None,25.101075887680054,None,25.101075887680054,None,25.101075887680054,None,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
,,,,,-0.3,0.1,0.5,-0.6,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.58754801750183,None,25.58754801750183,None,25.58754801750183,None,25.58754801750183,None,25.58754801750183,None,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
,,,,,-0.35,0.05,0.45,-0.6,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.12326192855835,None,26.12326192855835,None,26.12326192855835,None,26.12326192855835,None,26.12326192855835,None,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
,,,,,-0.4,0.0,0.4,0.6,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.606168031692505,None,26.606168031692505,None,26.606168031692505,None,26.606168031692505,None,26.606168031692505,None,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
,,,,,-0.45,-0.05,0.35,0.6,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.121525049209595,None,27.121525049209595,None,27.121525049209595,None,27.121525049209595,None,27.121525049209595,None,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
,,,,,-0.5,-0.1,0.3,0.6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.605288982391357,None,27.605288982391357,None,27.605288982391357,None,27.605288982391357,None,27.605288982391357,None,,,,,,,,,,,,,,,,001,2021_Jul_22_2211,untitled,2020.2.10,None,
