rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,reward,tree1_n,tree2_p,time.thisRepN,time.thisTrialN,time.thisN,time.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos_1.thisRepN,pos_1.thisTrialN,pos_1.thisN,pos_1.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,pos_2.thisRepN,pos_2.thisTrialN,pos_2.thisN,pos_2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,tree1_20.started,tree1_20.stopped,tree2_20.started,tree2_20.stopped,tree3_20.started,tree3_20.stopped,tree4_20.started,tree4_20.stopped,circle.started,circle.stopped,forward_13.started,forward_13.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,circle6.started,circle6.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,tree1_5.started,tree1_5.stopped,tree2_5.started,tree2_5.stopped,tree3_5.started,tree3_5.stopped,tree4_5.started,tree4_5.stopped,circle_5.started,circle_5.stopped,reward_3.started,reward_3.stopped,forward_7.started,forward_7.stopped,sol_2.x,sol_2.y,sol_2.leftButton,sol_2.midButton,sol_2.rightButton,sol_2.clicked_name,sol_2.started,sol_2.stopped,skipsq_2.started,skipsq_2.stopped,gcircle_5.started,gcircle_5.stopped,tree1_21.started,tree1_21.stopped,tree2_21.started,tree2_21.stopped,tree3_21.started,tree3_21.stopped,tree4_21.started,tree4_21.stopped,circle_6.started,circle_6.stopped,reward_9.started,reward_9.stopped,forward_15.started,forward_15.stopped,tree1_22.started,tree1_22.stopped,tree2_22.started,tree2_22.stopped,tree3_22.started,tree3_22.stopped,tree4_22.started,tree4_22.stopped,circle5_2.started,circle5_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,$rewardval1,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,19.649121046066284,None,20.59868812561035,None,20.59868812561035,20.59868812561035,20.59868812561035,20.59868812561035,20.59868812561035,20.59868812561035,20.59868812561035,None,20.59868812561035,20.59868812561035,20.59868812561035,None,20.59868812561035,20.59868812561035,0.012962962962962963,-0.1935185185185185,1,0,0,circle1,0.004349231719970703,None,31.59162402153015,None,31.59162402153015,31.59162402153015,31.59162402153015,31.59162402153015,31.59162402153015,31.59162402153015,31.59162402153015,None,31.59162402153015,31.59162402153015,31.59162402153015,None,31.59162402153015,31.59162402153015,31.59162402153015,31.59162402153015,32.606521129608154,None,32.606521129608154,32.606521129608154,32.606521129608154,32.606521129608154,32.606521129608154,32.606521129608154,32.606521129608154,None,32.606521129608154,32.606521129608154,0.00752568244934082,0.00752568244934082,32.606521129608154,None,None,32.606521129608154,32.606521129608154,-0.4898148148148148,-0.17314814814814813,1,0,0,tree1_4,0.00752568244934082,None,32.606521129608154,None,32.606521129608154,None,42.475229024887085,None,42.475229024887085,42.475229024887085,42.475229024887085,42.475229024887085,42.475229024887085,42.475229024887085,42.475229024887085,None,42.475229024887085,42.475229024887085,42.475229024887085,None,42.475229024887085,42.475229024887085,42.475229024887085,42.475229024887085,42.475229024887085,None,42.475229024887085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,$rewardval2,,,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,43.49188303947449,None,43.49188303947449,43.49188303947449,43.49188303947449,43.49188303947449,43.49188303947449,43.49188303947449,43.49188303947449,None,43.49188303947449,43.49188303947449,43.49188303947449,None,43.49188303947449,43.49188303947449,-0.001851851851851852,-0.23703703703703705,1,0,0,circle1,0.011754751205444336,None,47.64754819869995,None,47.64754819869995,47.64754819869995,47.64754819869995,47.64754819869995,47.64754819869995,47.64754819869995,47.64754819869995,None,47.64754819869995,47.64754819869995,47.64754819869995,None,47.64754819869995,47.64754819869995,47.64754819869995,47.64754819869995,48.67251920700073,None,48.67251920700073,48.67251920700073,48.67251920700073,48.67251920700073,48.67251920700073,48.67251920700073,48.67251920700073,None,48.67251920700073,48.67251920700073,0.007845640182495117,0.007845640182495117,48.67251920700073,None,None,48.67251920700073,48.67251920700073,-0.44074074074074077,-0.16944444444444445,1,0,0,tree1_4,0.007845640182495117,None,48.67251920700073,None,48.67251920700073,None,50.627618074417114,None,50.627618074417114,50.627618074417114,50.627618074417114,50.627618074417114,50.627618074417114,50.627618074417114,50.627618074417114,None,50.627618074417114,50.627618074417114,50.627618074417114,None,50.627618074417114,50.627618074417114,50.627618074417114,50.627618074417114,50.627618074417114,None,50.627618074417114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,$rewardval3,,,0,0,0,1,0,2,2,2,,,,,,,,,,,,,,,51.70992422103882,None,51.70992422103882,51.70992422103882,51.70992422103882,51.70992422103882,51.70992422103882,51.70992422103882,51.70992422103882,None,51.70992422103882,51.70992422103882,51.70992422103882,None,51.70992422103882,51.70992422103882,0.03796296296296296,-0.19814814814814816,1,0,0,circle1,0.00677943229675293,None,52.26152801513672,None,52.26152801513672,52.26152801513672,52.26152801513672,52.26152801513672,52.26152801513672,52.26152801513672,52.26152801513672,None,52.26152801513672,52.26152801513672,52.26152801513672,None,52.26152801513672,52.26152801513672,52.26152801513672,52.26152801513672,53.30729413032532,None,53.30729413032532,53.30729413032532,53.30729413032532,53.30729413032532,53.30729413032532,53.30729413032532,53.30729413032532,None,53.30729413032532,53.30729413032532,0.008200645446777344,0.008200645446777344,53.30729413032532,None,None,53.30729413032532,53.30729413032532,0.44814814814814813,-0.23055555555555557,1,0,0,skipsq,0.008200645446777344,None,53.30729413032532,None,53.30729413032532,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,$rewardval3,-0.2,-0.6,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.47358703613281,None,60.47358703613281,None,60.47358703613281,60.47358703613281,60.47358703613281,60.47358703613281,60.47358703613281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,$rewardval3,-0.21,-0.6,0,0,0,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.63982105255127,60.63982105255127,60.63982105255127,60.63982105255127,60.63982105255127,60.63982105255127,60.63982105255127,60.63982105255127,60.63982105255127,60.63982105255127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,$rewardval3,-0.22,-0.6,0,0,0,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.83933210372925,60.83933210372925,60.83933210372925,60.83933210372925,60.83933210372925,60.83933210372925,60.83933210372925,60.83933210372925,60.83933210372925,60.83933210372925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,$rewardval3,-0.23,-0.6,0,0,0,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.03991103172302,61.03991103172302,61.03991103172302,61.03991103172302,61.03991103172302,61.03991103172302,61.03991103172302,61.03991103172302,61.03991103172302,61.03991103172302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,$rewardval3,-0.24,-0.6,0,0,0,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.19632601737976,61.19632601737976,61.19632601737976,61.19632601737976,61.19632601737976,61.19632601737976,61.19632601737976,61.19632601737976,61.19632601737976,61.19632601737976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,$rewardval3,-0.25,-0.6,0,0,0,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.35857915878296,61.35857915878296,61.35857915878296,61.35857915878296,61.35857915878296,61.35857915878296,61.35857915878296,61.35857915878296,61.35857915878296,61.35857915878296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
6.2,6.2,6.8,6.1,6.1,$rewardval3,-0.26,-0.6,0,0,0,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.555007219314575,61.555007219314575,61.555007219314575,61.555007219314575,61.555007219314575,61.555007219314575,61.555007219314575,61.555007219314575,61.555007219314575,61.555007219314575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_05_1813,untitled,2020.2.10,None,
