rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,time_bound.thisRepN,time_bound.thisTrialN,time_bound.thisN,time_bound.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,key_resp.rt,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,0,0,0,0,0,0,0,0,,,,,,,,,11.42549991607666,None,12.498311996459961,None,12.498311996459961,None,12.498311996459961,None,12.498311996459961,None,12.498311996459961,None,12.498311996459961,12.498311996459961,12.498311996459961,None,12.498311996459961,12.498311996459961,-0.03425925925925926,-0.20833333333333334,1,0,0,square_18,0.009254693984985352,None,14.753229856491089,None,14.753229856491089,None,14.753229856491089,None,14.753229856491089,None,14.753229856491089,None,14.753229856491089,14.753229856491089,14.753229856491089,None,14.753229856491089,14.753229856491089,14.753229856491089,14.753229856491089,15.780763864517212,None,15.780763864517212,None,15.780763864517212,None,15.780763864517212,None,15.780763864517212,None,15.780763864517212,15.780763864517212,-0.4842592592592593,-0.18333333333333332,1,0,0,1.5180139541625977,tree1_4,0.012234687805175781,None,15.780763864517212,None,15.780763864517212,15.780763864517212,None,15.780763864517212,None,0.012234687805175781,None,15.780763864517212,None,17.363497018814087,None,17.363497018814087,None,17.363497018814087,None,17.363497018814087,None,17.363497018814087,None,17.363497018814087,None,17.363497018814087,None,17.363497018814087,17.363497018814087,17.363497018814087,17.363497018814087,17.363497018814087,None,17.363497018814087,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_24_1524,untitled,2020.2.10,60.199329444725116,
7.1,6.9,7.1,6.6,6.8,0,0,0,0,0,1,1,1,,,,,,,,,,,18.380220890045166,None,18.380220890045166,None,18.380220890045166,None,18.380220890045166,None,18.380220890045166,None,18.380220890045166,18.380220890045166,18.380220890045166,None,18.380220890045166,18.380220890045166,-0.021296296296296296,-0.18981481481481483,1,0,0,square_18,0.013596534729003906,None,19.358507871627808,None,19.358507871627808,None,19.358507871627808,None,19.358507871627808,None,19.358507871627808,None,19.358507871627808,19.358507871627808,19.358507871627808,None,19.358507871627808,19.358507871627808,19.358507871627808,19.358507871627808,20.386656999588013,None,20.386656999588013,None,20.386656999588013,None,20.386656999588013,None,20.386656999588013,None,20.386656999588013,20.386656999588013,-0.5111111111111111,-0.175,1,0,0,3.1069419384002686,tree1_4,0.011414527893066406,None,20.386656999588013,None,20.386656999588013,20.386656999588013,None,20.386656999588013,None,0.011414527893066406,None,20.386656999588013,None,23.555526971817017,None,23.555526971817017,None,23.555526971817017,None,23.555526971817017,None,23.555526971817017,None,23.555526971817017,None,23.555526971817017,None,23.555526971817017,23.555526971817017,23.555526971817017,23.555526971817017,23.555526971817017,None,23.555526971817017,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_24_1524,untitled,2020.2.10,60.199329444725116,
6.2,6.2,6.8,6.1,6.1,0,0,0,0,0,2,2,2,,,,,,,,,,,24.595496892929077,None,24.595496892929077,None,24.595496892929077,None,24.595496892929077,None,24.595496892929077,None,24.595496892929077,24.595496892929077,24.595496892929077,None,24.595496892929077,24.595496892929077,-0.019444444444444445,-0.2074074074074074,1,0,0,square_18,0.014200687408447266,None,25.876906871795654,None,25.876906871795654,None,25.876906871795654,None,25.876906871795654,None,25.876906871795654,None,25.876906871795654,25.876906871795654,25.876906871795654,None,25.876906871795654,25.876906871795654,25.876906871795654,25.876906871795654,26.90577983856201,None,26.90577983856201,None,26.90577983856201,None,26.90577983856201,None,26.90577983856201,None,26.90577983856201,26.90577983856201,-0.487962962962963,-0.17222222222222222,1,0,0,1.3788011074066162,tree1_4,0.012538671493530273,None,26.90577983856201,None,26.90577983856201,26.90577983856201,None,26.90577983856201,None,0.012538671493530273,None,26.90577983856201,None,28.363105058670044,None,28.363105058670044,None,28.363105058670044,None,28.363105058670044,None,28.363105058670044,None,28.363105058670044,None,28.363105058670044,None,28.363105058670044,28.363105058670044,28.363105058670044,28.363105058670044,28.363105058670044,None,28.363105058670044,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_24_1524,untitled,2020.2.10,60.199329444725116,
5.9,5.8,6.3,5.8,5.8,0,0,0,0,0,3,3,3,,,,,,,,,,,29.368489027023315,None,29.368489027023315,None,29.368489027023315,None,29.368489027023315,None,29.368489027023315,None,29.368489027023315,29.368489027023315,29.368489027023315,None,29.368489027023315,29.368489027023315,-0.025925925925925925,-0.18518518518518517,1,0,0,square_18,0.014352560043334961,None,30.49817395210266,None,30.49817395210266,None,30.49817395210266,None,30.49817395210266,None,30.49817395210266,None,30.49817395210266,30.49817395210266,30.49817395210266,None,30.49817395210266,30.49817395210266,30.49817395210266,30.49817395210266,31.530954837799072,None,31.530954837799072,None,31.530954837799072,None,31.530954837799072,None,31.530954837799072,None,31.530954837799072,31.530954837799072,-0.024074074074074074,-0.20092592592592592,1,0,0,6.668637990951538,,0.0039255619049072266,None,31.530954837799072,None,31.530954837799072,31.530954837799072,space,31.530954837799072,None,0.0039255619049072266,None,31.530954837799072,None,39.92496395111084,None,39.92496395111084,None,39.92496395111084,None,39.92496395111084,None,39.92496395111084,None,39.92496395111084,None,39.92496395111084,None,39.92496395111084,39.92496395111084,39.92496395111084,39.92496395111084,39.92496395111084,None,39.92496395111084,None,8.308642148971558,-0.49074074074074076,-0.16111111111111112,1,0,0,1.2828090190887451,,,,,,,,,,,,,,,,001,2021_Jul_24_1524,untitled,2020.2.10,60.199329444725116,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.94676685333252,None,40.94676685333252,None,40.94676685333252,None,40.94676685333252,None,40.94676685333252,None,40.94676685333252,None,40.94676685333252,None,,,,,,,
