rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,,,,,,,,,8.612164974212646,None,9.678912878036499,None,9.678912878036499,9.678912878036499,9.678912878036499,9.678912878036499,9.678912878036499,9.678912878036499,9.678912878036499,None,9.678912878036499,9.678912878036499,9.678912878036499,None,9.678912878036499,9.678912878036499,0.017592592592592594,-0.21203703703703702,1,0,0,square_18,0.01068425178527832,None,10.584751844406128,None,10.584751844406128,10.584751844406128,10.584751844406128,10.584751844406128,10.584751844406128,10.584751844406128,10.584751844406128,None,10.584751844406128,10.584751844406128,10.584751844406128,None,10.584751844406128,10.584751844406128,10.584751844406128,10.584751844406128,11.61060881614685,None,11.61060881614685,11.61060881614685,11.61060881614685,11.61060881614685,11.61060881614685,11.61060881614685,11.61060881614685,None,11.61060881614685,11.61060881614685,0.00725865364074707,0.00725865364074707,11.61060881614685,None,None,11.61060881614685,11.61060881614685,-0.49166666666666664,-0.2175925925925926,1,0,0,tree1_4,0.00725865364074707,None,11.61060881614685,None,11.61060881614685,None,14.10845685005188,None,14.10845685005188,14.10845685005188,14.10845685005188,14.10845685005188,14.10845685005188,14.10845685005188,14.10845685005188,None,14.10845685005188,14.10845685005188,14.10845685005188,None,14.10845685005188,14.10845685005188,14.10845685005188,14.10845685005188,14.10845685005188,None,14.10845685005188,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,,,,,,,,,,,,,,,15.133064031600952,None,15.133064031600952,15.133064031600952,15.133064031600952,15.133064031600952,15.133064031600952,15.133064031600952,15.133064031600952,None,15.133064031600952,15.133064031600952,15.133064031600952,None,15.133064031600952,15.133064031600952,-0.03425925925925926,-0.2222222222222222,1,0,0,square_18,0.011397838592529297,None,15.49226188659668,None,15.49226188659668,15.49226188659668,15.49226188659668,15.49226188659668,15.49226188659668,15.49226188659668,15.49226188659668,None,15.49226188659668,15.49226188659668,15.49226188659668,None,15.49226188659668,15.49226188659668,15.49226188659668,15.49226188659668,16.531272888183594,None,16.531272888183594,16.531272888183594,16.531272888183594,16.531272888183594,16.531272888183594,16.531272888183594,16.531272888183594,None,16.531272888183594,16.531272888183594,0.0073549747467041016,0.0073549747467041016,16.531272888183594,None,None,16.531272888183594,16.531272888183594,0.46944444444444444,-0.20925925925925926,1,0,0,skipsq,0.0073549747467041016,None,16.531272888183594,None,16.531272888183594,None,18.933228015899658,None,18.933228015899658,18.933228015899658,18.933228015899658,18.933228015899658,18.933228015899658,18.933228015899658,18.933228015899658,None,18.933228015899658,18.933228015899658,18.933228015899658,None,18.933228015899658,18.933228015899658,18.933228015899658,18.933228015899658,18.933228015899658,None,18.933228015899658,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.2,-0.6,0.6,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.965512990951538,None,19.965512990951538,None,19.965512990951538,19.965512990951538,19.965512990951538,19.965512990951538,19.965512990951538,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.25,-0.6,0.55,-0.6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.462910890579224,None,20.462910890579224,None,20.462910890579224,20.462910890579224,20.462910890579224,20.462910890579224,20.462910890579224,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.3,-0.6,0.5,-0.6,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96381688117981,None,20.96381688117981,None,20.96381688117981,20.96381688117981,20.96381688117981,20.96381688117981,20.96381688117981,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.35,-0.6,0.45,-0.6,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.48821187019348,None,21.48821187019348,None,21.48821187019348,21.48821187019348,21.48821187019348,21.48821187019348,21.48821187019348,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.4,0.0,0.4,0.6,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.941592931747437,None,21.941592931747437,None,21.941592931747437,21.941592931747437,21.941592931747437,21.941592931747437,21.941592931747437,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.6,-0.05,0.35,0.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.472355842590332,None,22.472355842590332,None,22.472355842590332,22.472355842590332,22.472355842590332,22.472355842590332,22.472355842590332,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.6,-0.1,0.3,0.6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.964414834976196,None,22.964414834976196,None,22.964414834976196,22.964414834976196,22.964414834976196,22.964414834976196,22.964414834976196,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.6,-0.15,0.25,0.6,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.441110849380493,None,23.441110849380493,None,23.441110849380493,23.441110849380493,23.441110849380493,23.441110849380493,23.441110849380493,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,-0.6,-0.2,0.2,0.6,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.931339979171753,None,23.931339979171753,None,23.931339979171753,23.931339979171753,23.931339979171753,23.931339979171753,23.931339979171753,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1711,untitled,2020.2.10,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.498498916625977,None,24.498498916625977,None,24.498498916625977,None,24.498498916625977,None,24.498498916625977,None,24.498498916625977,None,24.498498916625977,None,,,,,,,
