rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,introtext.started,introtext.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,square_2.started,square_2.stopped,tree1_2.started,tree1_2.stopped,tree2_2.started,tree2_2.stopped,tree3_2.started,tree3_2.stopped,tree4_2.started,tree4_2.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.time,resp.clicked_name,resp.started,resp.stopped,forward.started,forward.stopped,squaree.started,squaree.stopped,key_resp.keys,key_resp.started,key_resp.stopped,skip.x,skip.y,skip.leftButton,skip.midButton,skip.rightButton,skip.time,skip.started,skip.stopped,gcircle_2.started,gcircle_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,4.5924599170684814,None,-0.006481481481481481,-0.23425925925925925,1,0,0,square_2,0.013898611068725586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_13_2100,untitled,2020.2.10,59.96814512554653,
7.5,7.3,7.6,7.1,7.4,0,0,0,0,,,,,,,,,,,5.600664854049683,None,5.600664854049683,None,5.600664854049683,None,5.600664854049683,None,5.600664854049683,None,7.593020915985107,None,7.593020915985107,None,7.593020915985107,None,7.593020915985107,None,7.593020915985107,None,7.593020915985107,7.593020915985107,7.593020915985107,None,7.593020915985107,7.593020915985107,-0.022222222222222223,-0.21666666666666667,1,0,0,square_18,0.0021011829376220703,None,10.674714803695679,None,10.674714803695679,None,10.674714803695679,None,10.674714803695679,None,10.674714803695679,None,10.674714803695679,None,10.674714803695679,None,10.674714803695679,10.674714803695679,10.674714803695679,10.674714803695679,11.719438791275024,None,11.719438791275024,None,11.719438791275024,None,11.719438791275024,None,11.719438791275024,None,11.719438791275024,None,-0.5037037037037037,-0.175,1,0,0,3.811007022857666,tree1_4,0.01593494415283203,None,11.719438791275024,None,11.719438791275024,11.719438791275024,None,11.719438791275024,None,-0.022222222222222223,-0.21666666666666667,1,0,0,2.0763370990753174,0.01593494415283203,None,11.719438791275024,12.82358694076538,,001,2021_Jul_13_2100,untitled,2020.2.10,59.96814512554653,
7.1,6.9,7.1,6.6,6.8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,15.580375909805298,None,15.580375909805298,None,15.580375909805298,None,15.580375909805298,None,15.580375909805298,None,15.580375909805298,15.580375909805298,15.580375909805298,None,15.580375909805298,15.580375909805298,0.03333333333333333,-0.18703703703703703,1,0,0,square_18,0.014048576354980469,None,17.230341911315918,None,17.230341911315918,None,17.230341911315918,None,17.230341911315918,None,17.230341911315918,None,17.230341911315918,None,17.230341911315918,None,17.230341911315918,17.230341911315918,17.230341911315918,17.230341911315918,18.250220775604248,None,18.250220775604248,None,18.250220775604248,None,18.250220775604248,None,18.250220775604248,None,18.250220775604248,None,-0.487962962962963,-0.1685185185185185,1,0,0,10.858479022979736,tree1_4,0.00471043586730957,None,18.250220775604248,None,18.250220775604248,18.250220775604248,None,18.250220775604248,None,-0.487962962962963,-0.1685185185185185,1,0,0,9.93281602859497,0.00471043586730957,None,18.250220775604248,19.339476823806763,,001,2021_Jul_13_2100,untitled,2020.2.10,59.96814512554653,
6.2,6.2,6.8,6.1,6.1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,29.153631925582886,None,29.153631925582886,None,29.153631925582886,None,29.153631925582886,None,29.153631925582886,None,29.153631925582886,29.153631925582886,29.153631925582886,None,29.153631925582886,29.153631925582886,-0.011111111111111112,-0.2037037037037037,1,0,0,square_18,0.015370368957519531,None,32.0682909488678,None,32.0682909488678,None,32.0682909488678,None,32.0682909488678,None,32.0682909488678,None,32.0682909488678,None,32.0682909488678,None,32.0682909488678,32.0682909488678,32.0682909488678,32.0682909488678,33.08724784851074,None,33.08724784851074,None,33.08724784851074,None,33.08724784851074,None,33.08724784851074,None,33.08724784851074,None,-0.55,-0.1638888888888889,1,0,0,3.7599620819091797,tree1_4,0.0036263465881347656,None,33.08724784851074,None,33.08724784851074,33.08724784851074,None,33.08724784851074,None,,,,,,,0.0036263465881347656,None,33.08724784851074,34.156091928482056,,001,2021_Jul_13_2100,untitled,2020.2.10,59.96814512554653,
5.9,5.8,6.3,5.8,5.8,0,3,3,3,,,,,,,,,,,,,,,,,,,,,36.90398192405701,None,36.90398192405701,None,36.90398192405701,None,36.90398192405701,None,36.90398192405701,None,36.90398192405701,36.90398192405701,36.90398192405701,None,36.90398192405701,36.90398192405701,-0.01574074074074074,-0.19537037037037036,1,0,0,square_18,0.0042383670806884766,None,38.74016189575195,None,38.74016189575195,None,38.74016189575195,None,38.74016189575195,None,38.74016189575195,None,38.74016189575195,None,38.74016189575195,None,38.74016189575195,38.74016189575195,38.74016189575195,38.74016189575195,39.76948881149292,None,39.76948881149292,None,39.76948881149292,None,39.76948881149292,None,39.76948881149292,None,39.76948881149292,None,-0.5055555555555555,-0.16296296296296298,1,0,0,2.767404079437256,tree1_4,0.0041713714599609375,None,39.76948881149292,None,39.76948881149292,39.76948881149292,None,39.76948881149292,None,,,,,,,0.0041713714599609375,None,39.76948881149292,40.83270287513733,,001,2021_Jul_13_2100,untitled,2020.2.10,59.96814512554653,
5.1,5.1,5.9,5.3,5.1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,42.605515003204346,None,42.605515003204346,None,42.605515003204346,None,42.605515003204346,None,42.605515003204346,None,42.605515003204346,42.605515003204346,42.605515003204346,None,42.605515003204346,42.605515003204346,0.030555555555555555,-0.21203703703703702,1,0,0,square_18,0.015031099319458008,None,49.73914980888367,None,49.73914980888367,None,49.73914980888367,None,49.73914980888367,None,49.73914980888367,None,49.73914980888367,None,49.73914980888367,None,49.73914980888367,49.73914980888367,49.73914980888367,49.73914980888367,50.77383780479431,None,50.77383780479431,None,50.77383780479431,None,50.77383780479431,None,50.77383780479431,None,50.77383780479431,None,-0.5342592592592592,-0.17407407407407408,1,0,0,5.350022077560425,tree1_4,0.0057184696197509766,None,50.77383780479431,None,50.77383780479431,50.77383780479431,None,50.77383780479431,None,,,,,,,0.0057184696197509766,None,50.77383780479431,51.872846841812134,,001,2021_Jul_13_2100,untitled,2020.2.10,59.96814512554653,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.183146953582764,None,56.183146953582764,None,56.183146953582764,None,56.183146953582764,None,56.183146953582764,None,56.183146953582764,56.183146953582764,56.183146953582764,None,56.183146953582764,56.183146953582764,0.016666666666666666,-0.17777777777777778,1,0,0,square_18,0.004343509674072266,None,57.55547785758972,None,57.55547785758972,None,57.55547785758972,None,57.55547785758972,None,57.55547785758972,None,57.55547785758972,None,57.55547785758972,None,57.55547785758972,57.55547785758972,57.55547785758972,57.55547785758972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
