time_bound.thisRepN,time_bound.thisTrialN,time_bound.thisN,time_bound.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree.started,tree.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,5.17424201965332,None,6.191716909408569,None,6.191716909408569,None,6.191716909408569,None,6.191716909408569,None,6.191716909408569,None,6.191716909408569,6.191716909408569,6.191716909408569,None,6.191716909408569,6.191716909408569,-0.013888888888888888,-0.1935185185185185,1,0,0,square_18,0.00811767578125,None,,,,001,2021_Jul_21_0201,untitled,2020.2.10,60.03552631767284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.044969081878662,None,,,,,,,
