rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,pos2.thisRepN,pos2.thisTrialN,pos2.thisN,pos2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,tree1_20.started,tree1_20.stopped,tree2_20.started,tree2_20.stopped,tree3_20.started,tree3_20.stopped,tree4_20.started,tree4_20.stopped,circle.started,circle.stopped,forward_13.started,forward_13.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_4.started,mouse_4.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,circle6.started,circle6.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,tree1_5.started,tree1_5.stopped,tree2_5.started,tree2_5.stopped,tree3_5.started,tree3_5.stopped,tree4_5.started,tree4_5.stopped,circle_5.started,circle_5.stopped,reward_3.started,reward_3.stopped,forward_7.started,forward_7.stopped,sol_2.x,sol_2.y,sol_2.leftButton,sol_2.midButton,sol_2.rightButton,sol_2.clicked_name,sol_2.started,sol_2.stopped,skipsq_2.started,skipsq_2.stopped,gcircle_5.started,gcircle_5.stopped,tree1_21.started,tree1_21.stopped,tree2_21.started,tree2_21.stopped,tree3_21.started,tree3_21.stopped,tree4_21.started,tree4_21.stopped,circle_6.started,circle_6.stopped,reward_9.started,reward_9.stopped,forward_15.started,forward_15.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,0,0,0,0,,,,,,,,,,,,,11.195253133773804,None,12.248512029647827,None,12.248512029647827,12.248512029647827,12.248512029647827,12.248512029647827,12.248512029647827,12.248512029647827,12.248512029647827,None,12.248512029647827,12.248512029647827,12.248512029647827,None,12.248512029647827,12.248512029647827,0.032407407407407406,-0.16944444444444445,1,0,0,circle1,0.009613513946533203,None,13.338962078094482,None,13.338962078094482,13.338962078094482,13.338962078094482,13.338962078094482,13.338962078094482,13.338962078094482,13.338962078094482,None,13.338962078094482,13.338962078094482,13.338962078094482,None,13.338962078094482,13.338962078094482,13.338962078094482,13.338962078094482,14.375416994094849,None,14.375416994094849,14.375416994094849,14.375416994094849,14.375416994094849,14.375416994094849,14.375416994094849,14.375416994094849,None,14.375416994094849,14.375416994094849,0.007832765579223633,0.007832765579223633,14.375416994094849,None,None,14.375416994094849,14.375416994094849,-0.4925925925925926,-0.1935185185185185,1,0,0,tree1_4,0.007832765579223633,None,14.375416994094849,None,14.375416994094849,None,16.19975209236145,None,16.19975209236145,16.19975209236145,16.19975209236145,16.19975209236145,16.19975209236145,16.19975209236145,16.19975209236145,None,16.19975209236145,16.19975209236145,16.19975209236145,None,16.19975209236145,16.19975209236145,16.19975209236145,16.19975209236145,16.19975209236145,None,16.19975209236145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
7.1,6.9,7.1,6.6,6.8,,,0,1,1,1,,,,,,,,,,,,,,,17.204813957214355,None,17.204813957214355,17.204813957214355,17.204813957214355,17.204813957214355,17.204813957214355,17.204813957214355,17.204813957214355,None,17.204813957214355,17.204813957214355,17.204813957214355,None,17.204813957214355,17.204813957214355,-0.000925925925925926,-0.19722222222222222,1,0,0,circle1,0.011919736862182617,None,17.757183074951172,None,17.757183074951172,17.757183074951172,17.757183074951172,17.757183074951172,17.757183074951172,17.757183074951172,17.757183074951172,None,17.757183074951172,17.757183074951172,17.757183074951172,None,17.757183074951172,17.757183074951172,17.757183074951172,17.757183074951172,18.79809308052063,None,18.79809308052063,18.79809308052063,18.79809308052063,18.79809308052063,18.79809308052063,18.79809308052063,18.79809308052063,None,18.79809308052063,18.79809308052063,0.0029354095458984375,0.0029354095458984375,18.79809308052063,None,None,18.79809308052063,18.79809308052063,0.4703703703703704,-0.21851851851851853,1,0,0,skipsq,0.0029354095458984375,None,18.79809308052063,None,18.79809308052063,None,20.602806091308594,None,20.602806091308594,20.602806091308594,20.602806091308594,20.602806091308594,20.602806091308594,20.602806091308594,20.602806091308594,None,20.602806091308594,20.602806091308594,20.602806091308594,None,20.602806091308594,20.602806091308594,20.602806091308594,20.602806091308594,20.602806091308594,None,20.602806091308594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.2,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.632960081100464,None,21.632960081100464,None,21.632960081100464,21.632960081100464,21.632960081100464,21.632960081100464,21.632960081100464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.21,-0.6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.711776971817017,None,21.711776971817017,None,21.711776971817017,21.711776971817017,21.711776971817017,21.711776971817017,21.711776971817017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.22,-0.6,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.80136203765869,None,21.80136203765869,None,21.80136203765869,21.80136203765869,21.80136203765869,21.80136203765869,21.80136203765869,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.23,-0.6,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.933272123336792,None,21.933272123336792,None,21.933272123336792,21.933272123336792,21.933272123336792,21.933272123336792,21.933272123336792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.24,-0.6,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.02277708053589,None,22.02277708053589,None,22.02277708053589,22.02277708053589,22.02277708053589,22.02277708053589,22.02277708053589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.25,-0.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.116352081298828,None,22.116352081298828,None,22.116352081298828,22.116352081298828,22.116352081298828,22.116352081298828,22.116352081298828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.26,-0.6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.208790063858032,None,22.208790063858032,None,22.208790063858032,22.208790063858032,22.208790063858032,22.208790063858032,22.208790063858032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.27,-0.6,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.340728044509888,None,22.340728044509888,None,22.340728044509888,22.340728044509888,22.340728044509888,22.340728044509888,22.340728044509888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.28,-0.6,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.432191133499146,None,22.432191133499146,None,22.432191133499146,22.432191133499146,22.432191133499146,22.432191133499146,22.432191133499146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.29,-0.6,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.518935918807983,None,22.518935918807983,None,22.518935918807983,22.518935918807983,22.518935918807983,22.518935918807983,22.518935918807983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.3,-0.6,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.597674131393433,None,22.597674131393433,None,22.597674131393433,22.597674131393433,22.597674131393433,22.597674131393433,22.597674131393433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.31,-0.6,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.716963052749634,None,22.716963052749634,None,22.716963052749634,22.716963052749634,22.716963052749634,22.716963052749634,22.716963052749634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
,,,,,-0.32,-0.6,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.800657987594604,None,22.800657987594604,None,22.800657987594604,22.800657987594604,22.800657987594604,22.800657987594604,22.800657987594604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1914,untitled,2020.2.10,None,
