rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,tree3_n,tree4_p,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos1.thisRepN,pos1.thisTrialN,pos1.thisN,pos1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,square_18.started,square_18.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,square_12.started,square_12.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,square_4.started,square_4.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,square_19.started,square_19.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,square_6.started,square_6.stopped,tree1_13.started,tree1_13.stopped,tree2_13.started,tree2_13.stopped,tree3_13.started,tree3_13.stopped,tree4_13.started,tree4_13.stopped,square_13.started,square_13.stopped,wait.started,wait.stopped,forward_3.started,forward_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,,,0,0,0,0,,,,,,,,,,,,,5.237019062042236,None,6.266209125518799,None,6.266209125518799,6.266209125518799,6.266209125518799,6.266209125518799,6.266209125518799,6.266209125518799,6.266209125518799,None,6.266209125518799,6.266209125518799,6.266209125518799,None,6.266209125518799,6.266209125518799,0.022222222222222223,-0.2,1,0,0,square_18,0.016653776168823242,None,7.31680703163147,None,7.31680703163147,7.31680703163147,7.31680703163147,7.31680703163147,7.31680703163147,7.31680703163147,7.31680703163147,None,7.31680703163147,7.31680703163147,7.31680703163147,None,7.31680703163147,7.31680703163147,7.31680703163147,7.31680703163147,8.352121114730835,None,8.352121114730835,8.352121114730835,8.352121114730835,8.352121114730835,8.352121114730835,8.352121114730835,8.352121114730835,None,8.352121114730835,8.352121114730835,0.0005133152008056641,0.0005133152008056641,8.352121114730835,None,None,8.352121114730835,8.352121114730835,-0.5074074074074074,-0.21388888888888888,1,0,0,tree1_4,0.0005133152008056641,None,8.352121114730835,None,8.352121114730835,None,9.719692945480347,None,9.719692945480347,9.719692945480347,9.719692945480347,9.719692945480347,9.719692945480347,9.719692945480347,9.719692945480347,None,9.719692945480347,9.719692945480347,9.719692945480347,None,9.719692945480347,9.719692945480347,9.719692945480347,9.719692945480347,9.719692945480347,None,9.719692945480347,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
7.1,6.9,7.1,6.6,6.8,,,,,0,1,1,1,,,,,,,,,,,,,,,10.726686954498291,None,10.726686954498291,10.726686954498291,10.726686954498291,10.726686954498291,10.726686954498291,10.726686954498291,10.726686954498291,None,10.726686954498291,10.726686954498291,10.726686954498291,None,10.726686954498291,10.726686954498291,-0.000925925925925926,-0.21851851851851853,1,0,0,square_18,0.005265474319458008,None,12.22112512588501,None,12.22112512588501,12.22112512588501,12.22112512588501,12.22112512588501,12.22112512588501,12.22112512588501,12.22112512588501,None,12.22112512588501,12.22112512588501,12.22112512588501,None,12.22112512588501,12.22112512588501,12.22112512588501,12.22112512588501,13.238590955734253,None,13.238590955734253,13.238590955734253,13.238590955734253,13.238590955734253,13.238590955734253,13.238590955734253,13.238590955734253,None,13.238590955734253,13.238590955734253,0.005723237991333008,0.005723237991333008,13.238590955734253,None,None,13.238590955734253,13.238590955734253,-0.48518518518518516,-0.18055555555555555,1,0,0,tree1_4,0.005723237991333008,None,13.238590955734253,None,13.238590955734253,None,14.463408946990967,None,14.463408946990967,14.463408946990967,14.463408946990967,14.463408946990967,14.463408946990967,14.463408946990967,14.463408946990967,None,14.463408946990967,14.463408946990967,14.463408946990967,None,14.463408946990967,14.463408946990967,14.463408946990967,14.463408946990967,14.463408946990967,None,14.463408946990967,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
6.2,6.2,6.8,6.1,6.1,,,,,0,2,2,2,,,,,,,,,,,,,,,15.462942123413086,None,15.462942123413086,15.462942123413086,15.462942123413086,15.462942123413086,15.462942123413086,15.462942123413086,15.462942123413086,None,15.462942123413086,15.462942123413086,15.462942123413086,None,15.462942123413086,15.462942123413086,0.03333333333333333,-0.20555555555555555,1,0,0,square_18,0.014600515365600586,None,16.145974159240723,None,16.145974159240723,16.145974159240723,16.145974159240723,16.145974159240723,16.145974159240723,16.145974159240723,16.145974159240723,None,16.145974159240723,16.145974159240723,16.145974159240723,None,16.145974159240723,16.145974159240723,16.145974159240723,16.145974159240723,17.198912143707275,None,17.198912143707275,17.198912143707275,17.198912143707275,17.198912143707275,17.198912143707275,17.198912143707275,17.198912143707275,None,17.198912143707275,17.198912143707275,0.004082202911376953,0.004082202911376953,17.198912143707275,None,None,17.198912143707275,17.198912143707275,0.4759259259259259,-0.17685185185185184,1,0,0,skipsq,0.004082202911376953,None,17.198912143707275,None,17.198912143707275,None,18.541587114334106,None,18.541587114334106,18.541587114334106,18.541587114334106,18.541587114334106,18.541587114334106,18.541587114334106,18.541587114334106,None,18.541587114334106,18.541587114334106,18.541587114334106,None,18.541587114334106,18.541587114334106,18.541587114334106,18.541587114334106,18.541587114334106,None,18.541587114334106,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
,,,,,-0.2,0.2,0.6,-0.6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.55927610397339,None,19.55927610397339,None,19.55927610397339,None,19.55927610397339,None,19.55927610397339,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
,,,,,-0.25,0.15,0.55,-0.6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05359196662903,None,20.05359196662903,None,20.05359196662903,None,20.05359196662903,None,20.05359196662903,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
,,,,,-0.3,0.1,0.5,-0.6,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.588233947753906,None,20.588233947753906,None,20.588233947753906,None,20.588233947753906,None,20.588233947753906,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
,,,,,-0.35,0.05,0.45,-0.6,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.08578610420227,None,21.08578610420227,None,21.08578610420227,None,21.08578610420227,None,21.08578610420227,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
,,,,,-0.4,0.0,0.4,0.6,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.580114126205444,None,21.580114126205444,None,21.580114126205444,None,21.580114126205444,None,21.580114126205444,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
,,,,,-0.45,-0.05,0.35,0.6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.074002027511597,None,22.074002027511597,None,22.074002027511597,None,22.074002027511597,None,22.074002027511597,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
,,,,,-0.5,-0.1,0.3,0.6,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.568010091781616,None,22.568010091781616,None,22.568010091781616,None,22.568010091781616,None,22.568010091781616,None,,,,,,,,,,,,,,,,001,2021_Jul_27_1600,untitled,2020.2.10,60.0943616547246,
