rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,time.thisRepN,time.thisTrialN,time.thisN,time.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos_1.thisRepN,pos_1.thisTrialN,pos_1.thisN,pos_1.thisIndex,reward2.thisRepN,reward2.thisTrialN,reward2.thisN,reward2.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,0,0,0,0,0,0,0,0,,,,,,,,,8.50913691520691,None,9.588804006576538,None,9.588804006576538,9.588804006576538,9.588804006576538,9.588804006576538,9.588804006576538,9.588804006576538,9.588804006576538,None,9.588804006576538,9.588804006576538,9.588804006576538,None,9.588804006576538,9.588804006576538,-0.010185185185185186,-0.21666666666666667,1,0,0,circle1,0.005702018737792969,None,299.7048490047455,None,299.7048490047455,299.7048490047455,299.7048490047455,299.7048490047455,299.7048490047455,299.7048490047455,299.7048490047455,None,299.7048490047455,299.7048490047455,299.7048490047455,None,299.7048490047455,299.7048490047455,299.7048490047455,299.7048490047455,300.7151379585266,None,300.7151379585266,300.7151379585266,300.7151379585266,300.7151379585266,300.7151379585266,300.7151379585266,300.7151379585266,None,300.7151379585266,300.7151379585266,0.007971525192260742,0.007971525192260742,300.7151379585266,None,None,300.7151379585266,300.7151379585266,-0.4962962962962963,-0.19814814814814816,1,0,0,tree1_4,0.007971525192260742,None,300.7151379585266,None,300.7151379585266,None,301.9737389087677,None,301.9737389087677,301.9737389087677,301.9737389087677,301.9737389087677,301.9737389087677,301.9737389087677,301.9737389087677,None,301.9737389087677,301.9737389087677,301.9737389087677,None,301.9737389087677,301.9737389087677,301.9737389087677,301.9737389087677,301.9737389087677,None,301.9737389087677,None,,,,,,,,,,,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
7.1,6.9,7.1,6.6,6.8,,,0,0,0,0,0,1,1,1,,,,,,,,,,,303.0000789165497,None,303.0000789165497,303.0000789165497,303.0000789165497,303.0000789165497,303.0000789165497,303.0000789165497,303.0000789165497,None,303.0000789165497,303.0000789165497,303.0000789165497,None,303.0000789165497,303.0000789165497,0.025,-0.19166666666666668,1,0,0,circle1,0.013127565383911133,None,303.27538084983826,None,303.27538084983826,303.27538084983826,303.27538084983826,303.27538084983826,303.27538084983826,303.27538084983826,303.27538084983826,None,303.27538084983826,303.27538084983826,303.27538084983826,None,303.27538084983826,303.27538084983826,303.27538084983826,303.27538084983826,304.302934885025,None,304.302934885025,304.302934885025,304.302934885025,304.302934885025,304.302934885025,304.302934885025,304.302934885025,None,304.302934885025,304.302934885025,0.00781869888305664,0.00781869888305664,304.302934885025,None,None,304.302934885025,304.302934885025,0.475,-0.20925925925925926,1,0,0,skipsq,0.00781869888305664,None,304.302934885025,None,304.302934885025,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
,,,,,-0.2,-0.6,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.72132086753845,None,305.72132086753845,None,305.72132086753845,305.72132086753845,305.72132086753845,305.72132086753845,305.72132086753845,None,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
,,,,,-0.21,-0.6,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.91589093208313,305.91589093208313,305.91589093208313,305.91589093208313,305.91589093208313,305.91589093208313,305.91589093208313,305.91589093208313,305.91589093208313,305.91589093208313,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
,,,,,-0.22,-0.6,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.1082110404968,306.1082110404968,306.1082110404968,306.1082110404968,306.1082110404968,306.1082110404968,306.1082110404968,306.1082110404968,306.1082110404968,306.1082110404968,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
,,,,,-0.23,-0.6,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.30102491378784,306.30102491378784,306.30102491378784,306.30102491378784,306.30102491378784,306.30102491378784,306.30102491378784,306.30102491378784,306.30102491378784,306.30102491378784,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
,,,,,-0.24,-0.6,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.49810004234314,306.49810004234314,306.49810004234314,306.49810004234314,306.49810004234314,306.49810004234314,306.49810004234314,306.49810004234314,306.49810004234314,306.49810004234314,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
,,,,,-0.25,-0.6,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.69715881347656,306.69715881347656,306.69715881347656,306.69715881347656,306.69715881347656,306.69715881347656,306.69715881347656,306.69715881347656,306.69715881347656,306.69715881347656,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
,,,,,-0.26,-0.6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.8899939060211,306.8899939060211,306.8899939060211,306.8899939060211,306.8899939060211,306.8899939060211,306.8899939060211,306.8899939060211,306.8899939060211,306.8899939060211,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
,,,,,-0.27,-0.6,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.04760789871216,307.04760789871216,307.04760789871216,307.04760789871216,307.04760789871216,307.04760789871216,307.04760789871216,307.04760789871216,307.04760789871216,307.04760789871216,,001,2021_Jul_30_2209,untitled,2020.2.10,60.35108721927412,
