rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,time.thisRepN,time.thisTrialN,time.thisN,time.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos_1.thisRepN,pos_1.thisTrialN,pos_1.thisN,pos_1.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,-0.39,-0.6,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.159991025924683,None,14.159991025924683,None,14.159991025924683,14.159991025924683,14.159991025924683,14.159991025924683,14.159991025924683,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.4,0.0,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.278268098831177,None,14.278268098831177,None,14.278268098831177,14.278268098831177,14.278268098831177,14.278268098831177,14.278268098831177,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.01,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.355628967285156,None,14.355628967285156,None,14.355628967285156,14.355628967285156,14.355628967285156,14.355628967285156,14.355628967285156,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.02,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.468621969223022,None,14.468621969223022,None,14.468621969223022,14.468621969223022,14.468621969223022,14.468621969223022,14.468621969223022,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.03,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.593411922454834,None,14.593411922454834,None,14.593411922454834,14.593411922454834,14.593411922454834,14.593411922454834,14.593411922454834,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.04,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.668669939041138,None,14.668669939041138,None,14.668669939041138,14.668669939041138,14.668669939041138,14.668669939041138,14.668669939041138,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.05,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.758052110671997,None,14.758052110671997,None,14.758052110671997,14.758052110671997,14.758052110671997,14.758052110671997,14.758052110671997,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.06,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.877871036529541,None,14.877871036529541,None,14.877871036529541,14.877871036529541,14.877871036529541,14.877871036529541,14.877871036529541,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.07,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.958950996398926,None,14.958950996398926,None,14.958950996398926,14.958950996398926,14.958950996398926,14.958950996398926,14.958950996398926,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.08,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.073941946029663,None,15.073941946029663,None,15.073941946029663,15.073941946029663,15.073941946029663,15.073941946029663,15.073941946029663,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.09,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19054913520813,None,15.19054913520813,None,15.19054913520813,15.19054913520813,15.19054913520813,15.19054913520813,15.19054913520813,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.1,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.273877143859863,None,15.273877143859863,None,15.273877143859863,15.273877143859863,15.273877143859863,15.273877143859863,15.273877143859863,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.11,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.395519971847534,None,15.395519971847534,None,15.395519971847534,15.395519971847534,15.395519971847534,15.395519971847534,15.395519971847534,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.12,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.47502613067627,None,15.47502613067627,None,15.47502613067627,15.47502613067627,15.47502613067627,15.47502613067627,15.47502613067627,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.13,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.595412015914917,None,15.595412015914917,None,15.595412015914917,15.595412015914917,15.595412015914917,15.595412015914917,15.595412015914917,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.14,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.677495956420898,None,15.677495956420898,None,15.677495956420898,15.677495956420898,15.677495956420898,15.677495956420898,15.677495956420898,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.15,0,0,0,0,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.78749394416809,None,15.78749394416809,None,15.78749394416809,15.78749394416809,15.78749394416809,15.78749394416809,15.78749394416809,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.16,0,0,0,0,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.869899988174438,None,15.869899988174438,None,15.869899988174438,15.869899988174438,15.869899988174438,15.869899988174438,15.869899988174438,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
,,,,,-0.6,-0.17,0,0,0,0,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.992211103439331,None,15.992211103439331,None,15.992211103439331,15.992211103439331,15.992211103439331,15.992211103439331,15.992211103439331,None,,001,2021_Aug_01_1650,untitled,2020.2.10,None,
